# 動画: ୨୧ 朝活 / 雑談 ୨୧ おはよう400人目標☀️みんなのお名前呼ばせてください！初見さん・ROM勢さんも大歓迎です✨️【 #真白猫ミミィ / #vtuber 】
# URL: https://www.youtube.com/watch?v=Zep6FHxcpmg
# 抽出日: 2026-02-20 16:24:05
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
※1:03:14 イラスト等の無断使用発見に関して
┣見つけ次第そっと通報お願いします
┗使ってるのは【X・youtube・tiktok･(blueSky？)】

0:40 OP
3:06 挨拶
3:41 手フリフリ
3:57 6時20分起床
5:58 無料じゃないよ
9:05 フライパン
10:36 照れ顔ガチ恋距離ウインク
11:55 OMG
12:07 寝起きはズビズビ
13:26 どこだ♪どこだ♪
17:34 無料じゃないよ
＿人人人人人人人人人＿
＞　20:19 くしゃみ　＜
￣Y^Y^Y^Y^Y^Y^Y^Y^Y￣
20:52 鼻かみミュート
22:55 ガチ恋距離
24:16 ガチ恋距離ウインク
26:13 ゆらゆら
27:01 お水
29:53 フライパンpart2
32:07 耳鼻科（アレルギー検査）
34:19 フライパンpart3
34:37 どこだ♪どこだ♪
35:25 ガチ恋距離ウインク
36:53 梅雨
38:47 ゆらゆら手フリフリ
39:32 ガチ恋距離フライパンpart4（セリフ）
42:06 ガチ恋距離（ざーこ）
47:05 室温27.5℃
49:22 怒り顔手フリフリ
50:38 猫パンチ
53:47 うれし♪うれし♪
56:48 ガチ恋距離（ぶちゅちゅ）
1:01:31 どこだ♪どこだ♪
1:02:15 OMG
1:02:40 イラスト無断使用！？
1:05:50 ​​IRIAMで使われてた
1:15:39 にゃんにゃん（セリフ）
1:17:50 猫パンチ
1:19:54 フライパンpart5
1:22:36 にゃんにゃん
1:30:12 ​​鎧袖一触・呉越同舟
1:30:32 脆弱性
1:35:46 うれし♪うれし♪
1:35:55 「おはろーね」って
1:36:23 フライパンとお玉
1:36:35 しゃしゃしゃい
1:38:02 とほうせいそう（東奔西走）
1:39:22 歌枠は7月
1:44:04 うれし♪うれし♪
1:53:43 耳ぴょこぴょこ
1:54:10 うれし♪うれし♪
1:54:23 ガチ恋距離（耳）
1:56:50 どこだ♪どこだ♪
1:58:36 飲み物クイズ説明
1:58:54 どこだ♪どこだ♪
2:00:01 どこだ♪どこだ♪
2:02:44 飲み物クイズ
┗2:20:24 答え
2:03:14 チチチチ
2:12:03 うれし♪うれし♪
2:13:17 嚙んだ
2:17:15 どこだ♪どこだ♪
2:18:27 うれし♪うれし♪
2:19:00 醬油食べてた？
2:19:35 チチチチ
2:20:05 ぬいぐるみ抱っこ
2:23:00 無料じゃないよ
2:24:13 ガチ恋距離（ざーこ～ぶちゅちゅ）
2:26:06 ほむら（誉）
2:29:55 切れかけのケチャップ
2:35:15 どこだ♪どこだ♪
2:35:41 挨拶
2:36:37 どこだ♪どこだ♪
2:40:09 なぞかけ
2:42:27 照れ顔ガチ恋距離
（いないいないばあっ！）
2:44:26 あっ
2:46:17 ED

