# 動画: ୨୧ 朝活 / 雑談 ୨୧ おはよう×1円と初見さん×5円と高評価×1円でランチ代決定🍚✨️初見さん・ROM勢さんも大歓迎です✨️【 #真白猫ミミィ / #vtuber 】
# URL: https://www.youtube.com/watch?v=UsN1AnCLjN0
# 抽出日: 2026-02-20 16:24:16
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
0:59 OP
3:12 挨拶（手フリフリ）
3:36 昨日
4:04 たくさん寝ると
4:24 お刺身
4:53 花粉なのか
6:51 昨日分のスパチャ読みから
8:43 アレルギー検査
9:47 実家に
12:34 本日のコメ
12:50 どこだ♪どこだ♪
13:45 わりじゅぎ（割烹着）
15:31 どこだ♪どこだ♪
15:49 フライパン
16:54 照れ顔ガチ恋距離
19:50 ホラゲ
20:35 猫パンチ（フードとれた）
21:12 7時20分起床
26:08 コメ時差15分
28:23 せいしゃ（祇園精舎）
33:33 フライパンpart2
34:22 釣りしたい
36:46 子守唄ダジャレ付き
37:42 ましろねの刺身
38:00 お歌（音程迷子）
40:00 どこだ♪どこだ♪
40:50 回らないお寿司
41:08 無料じゃないよ
42:35 おくそく（推測）
45:11 ご飯食べた
48:05 声ガラガラ
49:17 水
49:35 室温28.3℃湿度59％
53:51 マック
1:00:25 祭り
1:01:35 ガリ好き
1:08:26 神輿
1:09:48 フライパンpart3
1:10:59 フライパンpart4
1:11:08 （＞＜）顔
1:20:15 好きな季節
1:21:50 コスプレ
1:25:24 フライパン怒らないでね
1:29:14 メルカリ
1:30:10 萌え袖好き
1:32:45 全身
1:39:33 ましろねも萌え袖
1:40:07 うれし♪うれし♪
1:41:37 スタバで好きなもの
1:45:04 全身
1:46:37 「萌え萌えキュン」
1:47:51 どこだ♪どこだ♪
1:49:32 ましろねの格好したおじさん
1:50:25 朝マックのおすすめ
1:51:09 ゆらゆら
1:52:05 全身
1:52:17 上着とった
1:56:33 その着せ替え人形は恋をする
1:57:44 ゆらゆら
1:58:02 おへそ
1:58:42 ぬいぐるみ抱っこ→フード取れる
1:58:46 「にゃんにゃん」猫の手
2:01:31 うめはうめー
2:02:07 ちょうこ（超越）
2:04:43 ポテトはマック
2:05:53 耳ぴょこぴょこ
2:07:02 無料じゃないよ
2:08:00 チャーハン絆創膏
2:08:55 何が好き～
2:10:00 耳ぴょこぴょこ
2:11:11 ぬいぐるみ抱っこ
2:13:09 タイピング音
2:13:37 トッピンぎゅ～食べたことある？
2:15:42 お歌
2:16:33 タイピング音
2:19:30 サーモンと鮪
2:21:07 まさかのスーパーカップ
2:24:55 ひゃーひゃー（HERSHEY'S）
2:26:14 お歌
2:29:18 語彙力が
2:30:47 うそーん
2:31:46 誰か語彙力ください
2:32:45 ポチっとね
2:36:16 どこだ♪どこだ♪
2:36:53 どこだ♪どこだ♪
2:40:40 なんてことを
2:41:34 台パン
2:45:24 どこだ♪どこだ♪
2:47:46 アイス何食べたい
2:52:30 おすすめのアイスと飲み物コラボ
2:57:24 食レポ苦手
3:01:10 筋トレ
3:01:56 ストロベリーアイス（エコー）
3:07:30 腹筋バキバキ
3:10:20 うれし♪うれし♪
3:11:04 初期ろね
3:13:11 どこだ♪どこだ♪
3:15:35 全身
3:16:56 喝入れてね
3:20:10 梅雨
3:20:50 ダンス
3:22:25 どこだ♪どこだ♪
3:29:13 タイピング音（ラ王・ラオウ）
3:34:56 うれし♪うれし♪
3:39:55 計算994円
3:43:44 サーモンの足首掴んどく！？
3:47:28 どこだ♪どこだ♪
3:52:53 犯人を探せ
3:53:16 どこだ♪どこだ♪
3:53:50 うれし♪うれし♪
3:57:45 うれし♪うれし♪
4:03:37 歌枠
4:05:52 ガチ恋距離
（足首掴んでるからね）
4:05:57 ふっはっは
4:07:55 どこだ♪どこだ♪
4:09:27 ガチ恋距離（八重歯）
4:11:23 無料じゃないよ
4:12:15 ガチ恋距離（ざーこ）エコー
4:13:45 ガチ恋距離（八重歯）
4:16:55 ガチ恋距離（ざーこtake2）
4:17:06 隠れた
4:20:28 無料じゃないよ
4:23:26 飲み物クイズ
┗4:32:15 答え
4:24:13 チチチチ
4:27:52 タイピング音（兜）
4:30:36 チチチチ
4:32:35 ココア♪
4:42:39 指
4:43:22 どこだ♪どこだ♪
4:47:40 最終1316円
（ 挨拶465×1初見さん47×5高評価616×1）
4:54:57 うれし♪うれし♪
4:57:46 うれし♪うれし♪
4:59:27 どこだ♪どこだ♪
5:00:22 再計算1359円
（ 挨拶474×1初見さん50×5高評価635×1）
5:00:56 うれし♪うれし♪
5:03:13 最終1377円
（ 挨拶478×1初見さん51×5高評価644×1）
5:06:43 挨拶
5:10:07 おさかな（お皿）
5:12:18 「サーモンちゅきにゃん」
5:15:22 ED

