# 動画: ୨୧ 飲酒 / 雑談  ୨୧ 初見さん・ROM勢さんも大歓迎✨️お酒呑むぞおおおおおおおお！！！【 #真白猫ミミィ / #vtuber 】
# URL: https://www.youtube.com/watch?v=Txodd_TB98A
# 抽出日: 2026-02-20 16:21:47
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
0:39 OP
3:06 ミュート
3:19 挨拶（BGM無し）
4:10 居酒屋「ましろね」
7:31 無料じゃないよ
8:00 どこだ♪どこだ♪
8:27 どこだ♪どこだ♪
9:10 うそーん（気付いた）
11:40 絶対起きる
12:07 新フライパン
12:41 ガチ恋距離（お兄ちゃん）
13:27 手も一緒にスライド
15:38 照れ顔ガチ恋距離
16:42 ぬいぐるみ抱っこ
16:45 猫パンチ
17:23 おんなしょう（女将）
20:16 どこだ♪どこだ♪
20:44 どこだ♪どこだ♪
21:10 見つかった
24:10 どこだ♪どこだ♪
24:28 どこだ♪どこだ♪
25:06 どこだ♪どこだ♪
26:24 どこだ♪どこだ♪
27:05 どこだ♪どこだ♪
27:43 どこだ♪どこだ♪
28:04 どこだ♪どこだ♪
29:14 アルコールぶちこむ
30:40 今日のお酒はストゼロ梅
32:10 開ける音
33:52 KP
35:52 どこだ♪どこだ♪
36:22 どこだ♪どこだ♪
38:36 サーティワン
39:55 何分遅れ？
42:47 どこだ♪どこだ♪
45:00 無料じゃないよ
45:53 タイピング音
47:43 どこだ♪どこだ♪
48:13 当分ホラゲは
51:35 ましろねーず最高
52:00 どこだ♪どこだ♪
54:17 昼寝5時間
57:25 早口
59:04 どこだ♪どこだ♪
1:00:12 無料じゃないよ
1:01:37 マック
1:03:07 ビックリ系苦手
1:05:42 鳳蝶
1:08:24 なぞかけ
1:09:31 好きなお酒
1:09:43 夜ご飯にマックできる？
1:12:47 お酒飲むとポテト
1:16:44 コメントが
1:17:06 どこだ♪どこだ♪
1:19:11 コメント消失
1:21:22 絶対起きる
1:21:46 ステッパー筋トレできてない
1:23:36 どこだ♪どこだ♪
1:23:56 まく（箒）
1:25:02 どこだ♪どこだ♪
1:25:40 おすすめのお酒
1:27:00 掃除
1:27:18 どこだ♪どこだ♪
1:27:42 ビックリしたなー（棒）
1:27:29 しゃないはく（車中泊）
1:35:03 バクバク
1:39:38 漢字テスト
（龘、戯れ、廉価版、省みる、相応しい）
1:41:18 えだまる（枝豆）
1:42:06 バクバク
1:43:22 どこだ♪どこだ♪
1:46:20 心霊
1:47:36 ゆえそうか（夢想家）
1:52:36 足首掴んでるからね
1:55:10 照れ顔ガチ恋距離
（いないいないばあっ！）
1:58:09 ハイライトオフ
2:04:27 お歌
2:05:44 生ハム
2:07:31 メロメロになーれ
2:08:16 気になってるゲーム
2:10:36 いちり（一入）
2:12:25 どこだ♪どこだ♪
2:12:32 すずしか（鈴鹿）
2:16:11 どこだ♪どこだ♪
2:21:39 笑顔
2:23:42 きくば（筑波）
2:27:28 笑顔
2:27:56 ウインク
2:30:37 ウインク
2:30:52 ガチ恋距離
2:33:38 挨拶
2:34:00 どこだ♪どこだ♪
2:37:23 ぶちゅちゅ
2:38:58 うれし♪うれし♪
2:39:11 グルグル目からの涙目
2:39:16 照れ顔ガチ恋距離
2:40:17 無料だよ
2:42:33 ED

