# 動画: ୨୧ 飲酒 / 雑談 ୨୧ お酒呑みながらまったりお話してます！初見さん・ROM勢さんも大歓迎✨️【 #真白猫ミミィ / #vtuber 】
# URL: https://www.youtube.com/watch?v=KQJUTiXcjs4
# 抽出日: 2026-02-20 16:27:07
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
0:33 OP
3:07 挨拶
3:20 声が
4:36 鼻
9:40 ガチ恋距離（ウインク）
12:55 清楚
14:10 12時起床
15:02 キムチ
15:19 無料じゃないよ
19:02 睡眠は大切
22:27 好きな酒
24:26 清楚どこ？
25:37 猫パンチ
28:26 日曜日とは
27:06 きゅうだん（九段下）
29:30 しょうばいぎょう（小売業）
31:44 散歩？
32:34 きゅるるん
33:26 アイス
34:23 ぴえん
36:03 きゅるるん
38:00 OMG
38:27 フライパン
39:20 お歌
40:30 サザエさん
41:44 読み間違えVtuber
42:22 すえっこ（姪っ子）
45:16 まだ
47:37 無料じゃないよ
48:58 ほろよい（レモンティーサワー）
50:53 どこだ♪どこだ♪
51:59 ほろよいはジュース
53:00 開ける音
54:55 音頭
55:06 KP
56:30 タイピング音
57:02 キムチ
57:23 酔ったら
59:32 食べられません
1:00:06 寝落ち配信
1:02:14 いつでも賢い
1:04:24 無料じゃないよ
1:06:05 マリカー
1:07:08 室温27℃湿度34％
1:09:19 嚙んだ？
1:12:22 ホラゲ
1:12:54 めん..ん？
1:15:20 KP
1:17:55 タイピング音
1:20:10 ホラゲGW
1:21:00 お歌
1:24:45 びじゅちゅあじ？
1:25:52 いつも清楚？
1:27:19 青鬼
1:27:54 つぐのひ
1:28:34 おおにんずう（多人数）
1:28:50 あくび？
1:34:44 わーお
1:37:29 無料じゃないよ
1:39:46 次から言わない
1:40:17 清楚
1:40:53 ビックリ顔
1:43:48 Get Wild（シティーハンター）
1:45:03 タイピング音
1:51:30 頭に？が
1:56:10 どんなアニメ見る
1:58:57 タイピング音
2:00:00 げんじん（玄人）
2:09:10 ライフが
2:10:43 タイピング音
2:11:40 まどマギ
2:13:14 ましろねオススメ
2:16:22 けいおんどこ
2:17:45 ひょうが（氷菓）
2:22:32 ん？
2:25:02 どこだ♪どこだ♪
2:26:30 ​​CHAOS;HEAD・STEINS;GATE
2:33:00 パパろねと？
2:33:31 どこだ♪どこだ♪
2:38:20 タイピング音
2:42:17 挨拶
2:44:37 ガチ恋距離
（いないいないばあっ！）
2:50:10 ED

