# 動画: ୨୧ 飲酒 / 雑談 ୨୧ お酒呑みながらまったりお話！初見さん・ROM勢さんも大歓迎✨️【 #真白猫ミミィ / #vtuber 】
# URL: https://www.youtube.com/watch?v=Nap1GLZAK0o
# 抽出日: 2026-02-20 16:34:19
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
0:30 OP
2:57 挨拶
4:33 1缶
4:50 元気もりもり
13:42 どこだ～
14:07 金曜
14:47 うれし♪うれし♪
16:30 花粉
17:36 うれし♪うれし♪
17:42 よいしょ
18:47 フライパン（朝？）
20:16 曜日感覚
20:40 無料じゃないよ
20:59 笑顔
22:17 ふっはっは
27:36 清楚？
31:14 無料じゃないよ
31:37 焼きそばパン買ってこいよ～
32:16 ガチ恋距離
36:44 明日のお昼焼きそばパン
47:26 ましろねは清楚
48:30 OMG
51:01 OMG
51:39 飲もうとしてる飲み物
┗51:57 ストゼロ梅
53:47 隠した
56:03 開ける音
56:08 こぼした
57:47 キーボードに
58:49 KP
1:00:55 酒宴女優賞受賞
1:04:31 足首掴んでるからね
1:04:40 ふっはっは
1:05:45 味噌汁
1:06:40 漢字飲む？
1:07:14 「は」が連騰
1:13:01 チャンジャ
1:13:25 飲み物飲んだ？あくび？
1:14:10 映画
1:14:49 足首掴んでるからね
1:14:53 ふっふっふ
1:16:30 漢字飲んだら覚える？
1:18:50 イヤだ
1:20:14 ポピプレ
1:22:17 手フリフリ（腕3本？）
1:22:18 あっ
1:23:38 OMG
1:30:20 赤飯苦手
1:30:48 うれし♪うれし♪
1:30:53 明日寝坊しない
1:33:52 コメ迷子
1:37:37 漢字パンがいい
1:39:22 お好み焼き
1:39:31 スズキの湯飲み
1:43:04 20分前に絶対起きる
1:45:22 ましろねの声＝朝
1:48:22 かたむけ（傾げる）
1:48:34 漢字ドリンク副作用
1:54:04 ちびろねちゃん
1:55:36 31％のお酒
1:59:10 こぼした
2:02:10 お歌
2:04:45 ウイスキー
2:07:07 タイピング音
2:09:03 お歌
2:09:23 やまひつじ（山羊）
2:17:54 黒い（悪い）
2:19:25 ドリフト車
2:22:44 かんだ
2:23:32 実家
2:25:57 目ぱっちり
2:27:11 お歌
2:28:50 無料じゃないよ（圧）
2:29:55 外出てない
2:32:15 どや顔
2:32:44 表情
2:32:46 丸目
2:33:02 目ぱっちり
2:35:26 花粉
2:38:03 口開け
2:38:17 ガチ恋距離
2:38:31 ジト目
2:39:18 ビックリ顔
2:44:09 うれし♪うれし♪
2:47:55 ルンバろねちゃん
2:48:12 お揃いの表情
2:52:17 ガチ恋距離
┗2:52:28 ジト目
2:54:00 ルンバろねちゃんに嫉妬
2:57:25 心の中で
3:00:44 もう12時
3:05:15 無料じゃないもん
3:05:42 尻尾は食べらない
3:06:13 スキー台
3:07:52 無料じゃないよ
3:09:10 今年のハロウィン
3:09:46 食べれないよ
3:11:03 「大好きだぞ」
3:11:50 無料じゃないよ
3:12:40 大好き
3:14:54 みんなのこと大好き
3:16:52 挨拶（よいしょ）
＿人人人人人人人人人＿
＞　3:22:01 くしゃみ　＜
￣Y^Y^Y^Y^Y^Y^Y^Y^Y￣
3:25:41 OMG
3:26:14 うれし♪うれし♪
3:29:09 ED

