# 動画: ✦ 朝活 / 雑談 ✦ 声が枯れ気味だったので早めに終わりました...❕️すぐに病院いってきます❕️🌸【#真白猫ミミィ #Vtuber 】
# URL: https://www.youtube.com/watch?v=v6b60gWT1gQ
# 抽出日: 2026-02-20 16:52:54
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
おつろねでした！お大事に～

0:38 OP
2:43 挨拶
3:40 起きれた
7:07 掃除した
12:20 「やったぜ」
15:05 お風呂のあとくしゃみ
16:51 声がおかしい気がする
18:17 「やったぜ」
19:06 スクショ確認
27:46 清楚だよね（圧）
28:15 始まりポスト忘れ
30:24 散歩したら寒かった
38:06 フラグは立てないを覚えた
42:45 登録者
45:20 加湿器
59:23 ハロウィン→クッキー
1:05:32 「えっと♪えっと♪」
1:23:47 黒焦げでも許してくれますか？
1:29:53 焼き芋大好き
1:32:42 加湿器
1:34:27 みんなの知識が凄い
1:36:00 「きゃっ」
1:36:04 「やったね」
1:38:05 炬燵
1:40:19 配信やめる！？（今日の）
1:55:13 「どこだ♪どこだ♪」
1:56:06 ちょうど半年
2:03:04 照れ顔ガチ恋距離
2:04:35 「やった♪やった♪」
2:07:30 見開く
2:08:18 朝ごはん食べた？
2:15:11 ましろねが素材に！
2:17:19 あくび
2:26:40 飲み物クイズ（2つ）
┗2:33:18 答え
2:36:37 「不正ですダメですピピピー」
2:38:09 声どうだった？
2:43:22 挨拶
2:45:31 「どこだ♪どこだ♪」
2:48:43 「よいしょ」
2:49:54 ED

