# 動画: ✦ 朝活 / 雑談 ✦ 高評価500目標☀️恵方巻きゲットを目指しながら関西弁でまったり雑談してます💭初見さん・ROM勢さんも大歓迎🐈‍⬛【 #真白猫ミミィ #vtuber 】
# URL: https://www.youtube.com/watch?v=ylu_xCKvd4Y
# 抽出日: 2026-02-20 16:39:10
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
※編集（カット）後の改訂版
2:03 OP
4:08 いない
4:28 挨拶
5:24 よいしょ
6:00 高評価カウンター
9:35 よいしょ
10:40 よいしょ
11:05 達成後に買う
11:54 寝起き声
12:41 なぜ
13:42 音聞こえてる？
17:02 フライパン
18:54 やったぜ
21:16 暦のしわ寄せ
22:25 恵方巻まだ
25:19 今日は早く寝る
25:52 どこだ♪どこだ♪
25:56 ろねは外福は内
26:24 X
26:46 枠立て
27:42 音しいてない
28:14 色々やらかす
29:00 お酒悩む
29:11 締め出された
29:55 どうやって鳴らす
33:06 鬼は外福は内
33:40 天気
34:22 寒い
34:40 マイナス多い
36:41 いつでも避ける
37:42 暦
37:55 タイピング音
39:25 コメ迷子
41:11 20分前起床
42:32 セルフ効果音
43:35 二重に
45:35 OBS
48:02 どこだ♪どこだ♪
48:39 かみかみ
49:05 うれし♪うれし♪
50:26 かんだ
53:16 雪多いね
56:00 口空ける
57:17 口空ける
57:31 ガチ恋距離（口）
57:54 タイピング音
58:27 方角
59:07 うれし♪うれし♪
59:13 八重歯
59:32 烏賊
1:01:02 ガチ恋距離
1:01:42 もぐろね配信協会さん
1:02:03 ちいかわの恵方巻
1:02:37 西南西わかる？
1:03:45 どこだ♪どこだ♪
1:06:46 ガチ恋距離
1:08:27 残念そう
1:11:01 恵方巻は7種類
1:11:26 うれし♪うれし♪
1:12:05 色んなサーモン
1:13:23 苦手
1:15:30 食べられないよ
1:16:25 ツインテの日
1:16:36 ツインテ
1:17:14 サーモン
1:19:27 地域によって逢う
1:19:42 うれし♪うれし♪
1:20:15 よいしょ
1:25:04 いたりまめ？（炒り豆）
1:26:17 はっ！
1:29:22 納豆ダメだった
1:31:55 パワーワード
1:33:45 うれし♪うれし♪
1:36:12 ダジャレ
1:41:24 かみかみ
1:41:44 OMG
1:42:23 ひぃ～
1:45:11 足首掴んでるからね
1:46:13 フルーツ食べれない
1:49:21 ダジャレ流せない
1:50:50 豆大量
1:54:05 ダジャレ
1:55:07 升
1:55:25 スタバ（張り切って？）
1:55:44 アレルギー
1:57:54 タイピング音
1:59:22 糖分振り切って
2:04:32 うれし♪うれし♪
2:05:12 漆
2:05:42 即答
2:07:34 賢くなった
2:08:00 桜
2:09:32 漆
2:11:23 りんご
2:13:49 高評価600でストゼロ
2:15:29 タイピング音（松坂牛）
2:21:32 かんだ
2:24:22 高評価500達成
2:24:50 えっ！
2:25:24 うれし♪うれし♪
2:25:41 早い
2:26:06 どこだ♪どこだ♪
2:28:53 タイピング音
2:30:50 ましろねギフト
2:32:25 タイピング音
2:33:00 調整
2:36:54 調整
2:38:53 タイピング音
2:39:52 青鬼
2:45:44 かんだ
2:48:13 ピンポン
2:51:07 天然水届いた
2:51:21 どこだ♪どこだ♪
2:54:17 ストゼロ守る
2:54:40 どこだ♪どこだ♪
2:56:22 どこだ
2:57:32 PON活
2:58:57 ギフト凄い
2:59:01 OMG
2:59:14 どこだ♪どこだ♪
2:59:21 とんかつ？
3:00:36 トンカツ食べたい
3:00:45 加湿器稼働
3:01:13 湿度34％
3:01:20 室内24.3℃
3:05:11 拭けた
3:05:47 低くて28％
3:06:36 夜に麻婆豆腐
3:06:58 Uber
3:09:37 やったぜ
3:10:16 パーティー
3:11:17 お昼
3:11:22 土日は早い
3:12:42 加湿空気清浄機
3:15:21 トンカツ恵方巻
3:17:36 無料じゃないよ
3:18:30 高カロリー
3:19:12 ガチ恋距離
3:20:50 タイピング音
3:21:26 ヒレカツ恵方巻
3:22:01 コメバグ
3:22:32 かんだ
3:24:23 色んなのあるね
3:26:46 わーお
3:27:55 高評価600達成
3:28:10 うれし♪うれし♪
3:28:33 どこだ♪どこだ♪
3:28:55 高評価700でトンカツ
3:30:24 海老フライ恵方巻
3:32:22 タイピング音
3:34:07 かんだ
3:34:31 確定申告
3:38:00 色んな恵方巻
3:41:42 食べないで
3:43:57 コンビニかスーパーか
3:47:52 生雪見だいふく
3:48:07 タイピング音
3:49:28 うれし♪うれし♪
3:51:57 タイピング音
3:52:02 丸目
3:52:42 どこだ♪どこだ♪
3:55:02 お歌
3:57:32 丸目
3:57:36 糸目
3:58:30 サザエさん
3:59:30 丸目→糸目
4:00:11 恵方巻の悪夢（寿司屋）
4:01:24 色んなのある
4:02:01 ターミネーター
→ミッションインポッシブル
4:02:30 時間計算
4:03:24 OMG
4:03:47 大変
4:04:57 お歌（サザエさんed）
4:06:37 飲み物クイズ
┗4:14:43 答え
4:16:12 はっ！顔
4:19:28 ウインク
4:20:39 カウンター消えた
4:22:14 気付いた
4:23:47 延長
4:27:51 よいしょ
4:29:06 よいしょ
4:30:10 手汗
4:30:22 お昼食べた？
4:31:20 食べられないよ
4:33:17 高評価700達成（初）
4:40:40 確定申告
4:42:16 どこだ♪どこだ♪
4:42:46 どこだ♪どこだ♪
4:43:41 丸目
4:46:17 ウインク
4:46:29 笑顔
4:47:02 丸目
4:47:10 どこだ♪どこだ♪
4:47:55 タイミング難しそう
4:48:34 糸目
4:49:47 でかい恵方巻
4:49:56 食べた？
4:53:37 鬼ろね
4:53:52 青鬼
4:54:26 飼育
4:55:20 禁酒
4:56:16 スケジュール決めてない
4:59:13 フードましろねーずどこ
5:00:36 フードましろねーず
5:02:00 フォルダ整理
5:02:52 グッズ化
5:05:00 よいしょ
5:05:03 挨拶
5:06:16 どこだ♪どこだ♪
5:07:30 ガチ恋距離「ちゅき」
5:10:07どこだ♪どこだ♪ 
5:11:16 ガチ恋距離ハイライトオフ
5:11:25 よいしょ
5:11:52 よいしょ
5:16:29 ED

