# 動画: ✦ 雑談 ✦ ついに初配信同時視聴します...お酒飲むぞおおお❕️❕️❕️❕️❕️【 #真白猫ミミィ #vtuber 】
# URL: https://www.youtube.com/watch?v=gFe6Azx-osg
# 抽出日: 2026-02-20 16:43:43
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
0:30 新OP
2:53 挨拶
3:12 口から心臓が
3:25 初配信
7:13 どこだ♪どこだ♪
11:42 どこだ♪どこだ♪
17:16 どこだ♪どこだ♪
20:20 PONしたかな
22:55 心臓の鼓動止める
24:15 ストゼロ梅
24:53 意気込み
26:22 KP
29:32 初期衣装
______________________________

31:30 初配信スタート
33:22 心臓が
34:23 喋った
35:02 違いすぎる
37:25 テンション低い
38:12 誰でしょうか
38:27 配信経験ない
39:55 マイクの設定
41:34 どうですか
43:02 清楚？
46:02 生態？
46:53 設定じゃないよ
53:27 テンションアップ
54:18 いえーい
55:06 KP
55:13 水素
56:12 スプレット
57:53 「やったぜ」
58:28 モチモチ
1:00:41 虫とホラゲ
1:01:48 ホラゲやってる
1:02:23 猫かぶってる
1:03:45 今も清楚
1:04:49 めっちゃ緊張
1:06:10 今もリスト残ってる
1:08:21 夜配信メイン
1:09:02 どうかな
1:09:47 面影がある？
1:10:36 初々しい
1:11:10 ファンネーム
1:12:30 ティザーPV
1:13:32 地声
1:14:25 アンケ見当たらない
1:16:36 大人気
1:18:12 ドラムロール
1:19:17 生んでくれてありがと
1:21:53 猛アタック
1:22:26 「やったぜ」
1:24:19 ロゴでた
1:25:03 画面
1:27:07 緊張+猫かぶり
1:27:50 OP
1:28:38 達成できたよ
1:30:54 コメ読みできてなかった
1:31:33 音声が
1:32:41 ミミえもん
1:34:45 グッズ
1:35:25 ウインク
1:36:47 笑顔
1:38:15 ハート目
1:38:55 キラキラ目
1:40:17 照れ顔
1:43:01 OBS
1:44:11 「やった♪やった♪」
1:45:01 怒り顔
1:45:55 ふんす
1:47:04 ふんす
1:47:57 何言ってるの
1:49:54 重量
1:50:45 圧かけるとき
1:51:43 タグ間違えた
1:52:01 台パン
1:53:28 にゃにゃにゃ
1:55:20 EDだー
1:55:57 はい
______________________________

1:56:20 2023/8/25の初配信でした
1:57:51 初期ろね清楚
1:58:22 あまり覚えてない
1:59:40 アンニュイ
2:04:07 どうでした？
2:05:33 手汗がやばい
2:06:30 それとこれとは
2:07:26 ダジャレ・名前呼び・コメ読み
2:08:42 できるかな
2:10:00 足首掴んでるからね
2:10:51 コメ迷子
2:12:04 何で言ったんだろう
2:12:27 振り返って
2:13:14 関西弁
2:14:47 テンション
2:17:57 謝罪配信
2:20:07 どちらも好きでいて
2:21:37 今だから
2:24:36 何やらかした
2:28:43 お酒の失敗談
2:38:23 芋焼酎
2:43:24 挨拶
2:48:42 照れ顔ガチ恋距離
2:49:15 ガチ恋距離
2:51:49 ED

