# 動画: ✦ 雑談 ✦ 初見さん・ROM勢さんも大歓迎🌷週1の夜雑談です🐈‍⬛🌙【 #真白猫ミミィ #vtuber 】
# URL: https://www.youtube.com/watch?v=NnB8BpWotdw
# 抽出日: 2026-02-20 16:41:00
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
0:37 OP
3:13 挨拶
3:23 寒い
4:32 よいしょ
6:31 どこだ♪どこだ♪
7:13 ご飯食べた
11:22 夜行性
13:57 白湯
14:36 15時30分起床
16:18 鶏肉炒め
18:27 フライパン
20:52 有料
21:14 三大美女
23:50 おでん･鍋
23:56 どこだ♪どこだ♪
26:52 散歩に
28:01 お風呂42℃
29:09 かみかみ
30:10 お風呂1時間
30:48 湯豆腐
30:56 頭が温まる
32:44 今日の歩数
33:45 タグ（かみかみ）
37:04 絶対散歩する
40:15 えいえいおー
42:40 任せて
46:06 ちょっと待って（赤スパ）
46:45 モチベ高い？
51:17 熱くなった
52:26 昨日ストゼロ
53:05 キン肉マン？？
1:02:03 耐久？
1:03:54 挨拶X2スクワット
1:04:24 コメ迷子
1:05:47 ましろね＝PON
1:08:35 たまには
1:09:40 ゴク
1:10:52 お嬢様
1:12:13 お財布管理協会さん
1:13:16 ぶちゅちゅ（エコー）
1:14:25 ましろねだよ
1:15:40 いつもPON
1:17:37 お歌
1:20:16 置かないよ！？
1:24:40 えっ
1:27:50 ましろねのPONは
1:28:35 PON判定
1:31:32 タイピング音
（グラブジャムン）
1:33:28 やったぜ
1:40:07 OMG
1:42:30 二郎系
1:43:17 わーお
1:44:14 油そば
1:51:36 ミミオさん
1:56:10 1km何m
1:59:13 1ｔ何kg
2:01:25 接頭語
2:02:54 ガチ恋距離
2:05:16 ガチ恋距離（耳）
2:06:11 ガチ恋距離
2:06:26 ウインク
2:07:55 ウインクできる？
2:09:58 ガチ恋距離（＞＜）
2:11:35 ＞＜顔
2:12:04 目
2:12:06 ウインク
2:13:26 ウインク
2:15:42 ガチ恋距離
2:16:34 いて
2:16:40 ハート目ガチ恋距離
2:16:46 ウインク
2:20:38 よいしょ
2:20:56 挨拶
2:24:17 3の3乗
2:25:04 ガチ恋距離ハイライトオフ
2:32:11 ED

