# 動画: 【 おにぎり屋さんシミュレーター 】おにぎり食べたい…おにぎり食べたい……🍙【 真白猫ミミィ / vtuber 】
# URL: https://www.youtube.com/watch?v=pLfKJpiRxFA
# 抽出日: 2026-02-20 16:00:24
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
1:04 OP
3:12 挨拶
3:49 元気もりもりましろねまん
4:44 特製おにぎりつくります
5:36 サムネ
8:29 照れ顔どや顔ガチ恋距離
9:16 バイト募集（給料ダジャレ）
10:03 無料じゃないよ
12:34 完璧な接客
14:14 特大の鮭おにぎり（エコー）
17:04 どこだ♪どこだ♪
18:33 すぅ
18:51 へいお待ち
19:34 予防接種予約した
20:24 カフェオレ
21:14 酔い止め忘れた
22:41 テンポよく？？
25:47 むしゃむしゃ
27:17 むしゃむしゃ
28:40 OMG
32:54 ポテトが揚がる
40:18 時給ダジャレ
44:41 台パン
46:44 31年後
48:22 むしゃむしゃ
50:34 ブラック！？
52:43 無理やり食べさす
57:31 とうぞう（登場）
58:46 ゲーム画面へ（真っ暗）
____________________________
1:00:19 【5日目】
1:00:47 調整
1:02:11 酔いそうになったらましろね見て
1:02:35 米炊く
1:03:31 仕入れ
1:04:31 いける気がする
1:06:34 しゃもじ立った（ご飯つき）
1:08:02 はぁっ！
1:11:31 開店
1:12:08 プレゼントフォーユー
1:15:17 愛情込めて
1:16:11 お昼食べてない
1:16:27 OMG
1:19:23 来ないで
1:19:34 ちょうど
1:21:15 閉店
1:21:36 クビだ～
1:22:59 最終利益（マイナス）

1:24:24 【6日目】
1:24:56 米炊く
1:25:47 おにぎりつくる
1:26:11 仕入れ
1:27:34 直置き
1:29:16 海苔なくなった
1:30:21 ちゃうちゃう
1:31:32 ぎりぎりの材料
1:32:00 開店
1:32:28 やったぜ
1:32:52 おねぎり
1:35:00 双子？
1:36:01 ごま塩ごま塩めんたい
1:36:55 ガラ声
1:37:36 どうしましょ
1:39:47 営業終了したい
1:40:30 ご飯足りない
1:42:36 ウインク
1:43:03 閉店
1:43:43 えっ？
1:45:48 最終利益（+8947円）

1:47:04 【7日目】
1:47:34 仕入れ
1:49:30 米炊く
1:49:49 お腹すいてくる
1:50:14 直置き
1:51:00 やべ
1:53:22 してないよ
1:55:48 開店
1:56:00 20％offとみせかけて
1:57:56 字から
1:59:40 OMG
1:59:46 直置き
1:59:47 クヒヒヒ
2:00:44 直置き
2:01:12 あっ
2:03:13 雇いたい
2:05:42 残業代
2:06:46 閉店
2:08:17 酔い覚まし
2:08:32 ブラック
2:10:32 酔ってない？
2:11:31 任しといて
2:12:04 てきせきおん（適宜）
2:13:05 最終利益（+867円）
2:13:34 飲み物増えた

2:14:00 【8日目】
2:14:14 米炊く
2:15:10 仕入れ
2:15:54 直置き
2:18:40 直置き
2:19:56 直置き
2:20:58 お茶どこ派？
2:23:34 お水はどこの？
2:24:19 うめがうめぇ
2:24:29 開店
2:24:37 直置きは内密に
2:25:34 監視カメラ探し
2:27:46 どうしましょ
2:28:42 ふぅ
2:31:07 ごましも
2:33:21 はぁはぁ
2:35:11 まな板ふきふき
2:35:54 ～ 2:39:43 離席
2:40:28 あっ
2:40:37 閉店
2:43:49 最終利益（+9340円）

2:45:45 【9日目】
2:46:14 食べられません
2:46:39 直置き
2:47:22 仕入れ
2:49:26 直置き
2:50:12 直置き
2:51:00 直置き
2:52:00 神バランス
2:53:54 開店
2:57:54 うめはうめぇ
2:59:27 連絡先はいらない
3:02:42 スマイル（331円）
3:03:13 閉店
3:04:11 スマイル
3:05:14 プレゼントフォーユー
3:06:18 最終利益（+11681円）
3:07:19 焼きおにぎり

3:08:02 【10日目】
3:08:27 仕入れ
3:10:32 チキチー食べたい
3:11:19 直置き
3:13:09 焼きおにぎり
3:13:59 直置き
3:16:35 仕入れ
3:17:33 3ヶ月ぶり
3:21:46 開店
3:26:23 評価5.0
3:28:00 大変かも
3:30:35 紙袋なくなった
3:31:49 よっしゃー
3:32:17 あっ炭火が
3:35:35 閉店
3:36:07 最終利益（+5087円）

3:37:37 【11日目】
3:38:47 見なかったことに
3:39:22 仕入れ
3:39:53 作業台
3:42:22 鮭だ～
3:43:08 焼いてみる
3:43:32 クンカクンカ
3:43:38 直置き
3:44:59 直置き
3:45:16 しゃもじ芸
3:47:05 直置き
3:47:58 直置き
3:53:10 焼きおにぎり忘れる
3:54:14 焼きすぎ
3:54:56 食べませんか？
3:57:51 開店
3:58:00 えいごう
3:58:10 えっ
3:59:53 うにゃうにゃ
4:02:12 噛んだ？
4:05:46 OMG
4:06:24 直置き
4:07:46 閉店
4:08:04 ご飯が
4:11:42 最終利益（+11631円）
____________________________
4:13:55 あまり酔わなかった
4:14:22 部屋移動
4:15:05 休憩なし
4:15:17 バイト募集
4:17:15 OMG
4:21:47 直置きにみせかけて
4:27:42 紙袋置いたところに
4:29:52 にゃ
4:33:11 夜ご飯
4:34:42 ガチ恋距離（耳）
4:35:02 耳ぴょこぴょこ
4:40:59 挨拶
4:43:45 ED

