# 動画: 【 夜活 / 雑談 】寝る前に少しお話しよ～🌙初見さん・ROM勢さんも大歓迎✨️【 真白猫ミミィ / vtuber 】
# URL: https://www.youtube.com/watch?v=NEdeIuStl3w
# 抽出日: 2026-02-20 16:01:38
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
1:11 OP
2:09 OP2周目
2:28 ガチ恋距離
2:43 挨拶
2:57 切るタイミングミス
3:42 ばっ・どどん
5:53 半袖
7:06 室温26℃
7:46 にゃんにゃんころりん
9:27 照れ顔ガチ恋距離
10:02 どこだ♪どこだ♪
10:09 しみず（清水寺）
11:27 パパろね誕生日
14:02 お水
15:47 半袖耐久
16:15 OMG
17:12 どこだ♪どこだ♪
18:41 ビックリ顔
18:54 暖房つけずに
19:57 外気温11℃
21:12 どこだ♪どこだ♪
22:16 無料じゃないよ
24:11 すやすやすやりん
26:22 どこだ♪どこだ♪
29:45 OMG
31:45 冷房に布団
34:41 燻して
35:32 パパろね招待
35:52 スピーチ
36:28 パパろねにオファー
36:53 パパろねの真似
38:34 どこだ♪どこだ♪
39:34 ホラゲ
40:57 な・い・しょ
42:43 窓の外のましろねーず
47:46 ガチ恋距離
51:27 パパろねの真似
52:16 ましろねをお嫁に
54:01 OMG
55:14 パパろねが見てても
55:54 虹
59:20 出演決定
1:00:20 パパろねとお酒
1:01:56 パパろねとフリートーク
1:03:23 パパろねの真似
1:03:42 ちょくだんぱん（直談判）
1:06:20 登録者しゅう
1:10:16 一緒に飲んだら
1:11:24 子猫時代
1:12:24 どう思ってる？
1:16:02 パパろねの好きなお酒
1:17:20 いもろねが配信してたら
1:22:14 絶対見てない
1:23:43 肩たたき券
1:26:14 誘ってみる
1:27:13 ママろね
1:31:47 プレゼント
1:33:04 ガチ恋距離ウインク
1:38:28 ぱっ
1:39:23 ましろねを探せ
1:40:58 照れ顔涙目ガチ恋距離指ハート
（パパろね大好きだよ）
1:42:06 お歌（チェリー）
1:43:43 旅行行きたい
1:44:26 抱き枕のように
1:45:30 真顔
1:46:22 困り顔
1:46:35 困り顔の女の子が大好きだ
1:47:06 いちなんとか（一圓九拾錢）
1:51:16 まさかのいもろね抱き枕
1:51:56 ましろねの抱き枕
1:52:26 スン（真顔）
1:52:47 笑顔（ガチ恋距離）
1:54:02 丸目（ガチ恋距離）
1:55:35 飲んでますポーズ
1:57:06 お歌（チェリー）
1:58:26 丸目（ガチ恋距離）
1:58:36 ジト目（ガチ恋距離）
1:58:38 ドヤ顔（ガチ恋距離）
1:59:27 ぐゎ
1:59:43 毛玉出かけた
2:00:50 丸目（ガチ恋距離）
2:00:59 ハイライトオフ（ガチ恋距離）
2:01:06 グルグル目（ガチ恋距離）
2:01:21 丸目（ガチ恋距離）
2:01:26 グルグル目（ガチ恋距離）
2:03:20 キラ目（ガチ恋距離）
2:05:40 お歌
2:06:35 桃鉄100年
2:06:52 罪深いガチ恋距離してしまったぜ
2:07:17 歌枠かな
2:08:37 ましろねの取説
2:11:56 きついツッコミ
2:15:36 漢字
2:16:02 運動任しといて
2:16:27 なんでだ
2:17:17 2026年の目標
2:17:43 ツッコミ練習配信
2:20:50 （＞＜）顔
2:20:58 丸目
2:21:11 怒り顔（ぷんぷん）
2:22:10 ツッコミ力に必要なもの
2:25:29 怒り顔（ぷんぷん）
2:25:53 ボケしかできない
2:27:09 キモたすかる
2:28:37 手フリフリ
2:29:00 「あ？」台パン
2:30:06 「めっ」
2:31:27 マイクラの村人風
2:31:56 パパろね風
2:33:43 「あ」
2:33:53 上目遣い
2:34:31 ドスの効いた声練習しとくね
2:37:02 スン
2:37:21 どんなことで怒るの？
2:41:03 例えば
2:42:30 ライン狭い？広い？
2:42:52 寝たら忘れる方
2:45:24 リスナー同士の喧嘩
2:47:02 概要欄
2:47:45 目かゆい
2:53:16 X動かしたい
2:55:06 寝坊
2:59:32 配信後グッズ梱包
3:00:30 ひゆ（暗喩）
3:00:54 台パン
3:02:23 早寝早起きがんばる
3:06:21 お昼ぐらいに起きた
3:14:12 ガチ恋距離
（足首掴み続けてる）
3:14:57 起きるよ
3:16:31 11/31はない
3:19:22 足首離さないからね
3:20:50 いいミミオの日（11/30）
3:21:21 いいにゃんにゃん（11/22）
3:21:56 覚え方
3:24:23 ゆうもつかじつ（勇猛果敢）
3:24:30 ふふん（不撓不屈）
3:24:34 ふふん（百折不撓）
3:25:22 ミミオ
3:29:11 ハート目（ガチ恋距離）
3:30:14 にゃんNG
3:31:36 ブラックフライデー
3:32:11 有職故実
3:34:35 漢字でGO
3:35:10 サムネ
3:36:20 お歌
3:37:26 ハードモードノーミス
3:37:35 キラ目
3:40:17 任しといて
3:43:10 ふぁ
3:45:51 土耳古
3:50:20 蚯蚓
3:51:57 挨拶
3:54:22 ED

