# 動画: 【 昼活 / 雑談 】初見さん10人＆挨拶250人耐久☀️帰省からただいま～！ROM勢さんも大歓迎✨️【 真白猫ミミィ / vtuber 】
# URL: https://www.youtube.com/watch?v=SIhy5-4TuVc
# 抽出日: 2026-02-20 16:12:38
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
2:21 OP
4:37 OP2周目
6:01 挨拶
6:42 動かない事件
7:26 てんやわんや
11:47 照れ顔ガチ恋距離
（いないいないばあっ！）
12:50 無料じゃないよ
16:03 お水メイン
16:47 20分前起床
20:06 やりたいきょく？
28:40 実家
29:45 ミミオ
29:51 台パン
31:02 ホラゲ
33:57 飲酒配信か悩んだ
38:14 バナーナ
40:36 ハイライトオフガチ恋距離（ざーこ）
41:30 実家でお酒飲んだ
43:14 お昼食べてない
44:59 電波8時間使えなかったら
46:46 どこだ♪どこだ♪
47:59 うれし♪うれし♪
50:54 どこだ♪どこだ♪
53:10 ミンティアカロリー
54:53 塩金平糖
58:41 宙に浮くましろねーず
1:00:22 「うまいにゃん」
1:05:38 高速ましろねーず
1:09:56 手フリフリ
1:09:59 マイク
1:10:03 猫ポーズ
1:10:08 ぬいぐるみ抱っこ
1:17:07 耳ぴょこぴょこ
1:18:24 どこだ♪どこだ♪
1:18:38 高速ましろねーず
1:20:51 ふっはっは
1:21:53 タイピング音
1:23:12 スタバ新作
1:24:45 漢字読めた
1:28:25 アイス
1:33:18 ミニストップ
1:35:36 冷蔵庫に？
1:37:20 本物ですぅ
1:40:12 しゅうりょう（数量）
1:41:24 わいんがこわいん
1:42:50 舌気を付けて
1:44:27 タイピング音
1:48:12 タイピング音
1:48:15 ジト目
1:48:27 滑舌が
1:50:14 ジト目ガチ恋距離
1:52:14 ジト目
1:52:40 ジト目口笑い
1:54:00 ジト目
1:54:50 アイス食べたね
1:56:32 どや顔
1:58:16 セリフ
1:58:26 台パン
1:59:19 ゴミを見るような目
2:03:02 どや顔
2:04:20 八重歯
2:04:51 どや顔ジト目
2:05:00 くっくっくっく
2:05:27 ジト目
2:05:51 照れ顔
2:06:05 （＞＜）顔
2:11:34 （＞＜）顔（かざり目）
2:11:38 丸目
2:16:02 丸目
2:16:28 糸目
2:26:16 なんとかヤマザキ（デイリー）
2:37:30 タイピング音
2:43:41 お昼？
2:51:20 コンビニにおいてあるコンビニ
2:55:50 ピロシキはロシア料理
2:58:16 ドラッグストア
3:00:31 むしゃむしゃ
3:03:48 冷えシャブ
3:11:44 活舌が
3:15:51 うまい（エコー）
3:20:06 ウナギの骨
3:24:43 どこだ♪どこだ♪
3:27:26 鮭かマグロか
3:29:40 ぶか（武家社会）
3:31:22 どこだ♪どこだ♪
3:34:54 どこだ♪どこだ♪
3:35:16 ひつまぶし
3:40:36 台パン
3:43:05 うれし♪うれし♪
3:44:18 PONしない？
3:47:38 普段からPON多くない
3:48:55 清楚
3:52:55 ましろねの自己紹介考えといて
3:55:57 スケジュール（仮）
3:57:05 ましねーずアップ
3:57:28 挨拶
4:02:22 ED

