# 動画: 【 昼活 / 雑談 】初見さん5人＆挨拶250人目標☀️今日もまったりお話ししよ～！ROM勢さんも大歓迎✨️【 真白猫ミミィ / vtuber 】
# URL: https://www.youtube.com/watch?v=OcoFiC8zVLo
# 抽出日: 2026-02-20 16:09:37
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
1:21 OP
3:31 挨拶
4:55 ロングですから
5:43 どこだ♪どこだ♪
6:38 咳
7:11 どや顔ガチ恋距離（にゃん）
9:11 お昼
12:23 起床12時30分
13:08 買い物・掃除
14:26 無料じゃないよ
15:07 どこだ♪どこだ♪
16:12 美容院
17:20 固定になるかも
17:30 イケろね
19:08 ドヤァ
20:20 野菜
22:12 声枯れがち
26:41 どこだ♪どこだ♪
27:16 カフェオレ
28:12 萌え萌えキュン（指ハート）
30:25 どこだ♪どこだ♪
31:33 昨日塩ラーメン食べちゃった
32:11 2周年グッズ発送時期
（boothに記載 10月末あたり）
34:50 台パン
36:10 どこだ♪どこだ♪
36:19 ボイトレ
38:40 アイラブカフェオレ
41:26 むしゃむしゃ（＞＜）顔
42:50 作業配信
44:01 元気もりもり
46:05 萌え萌えキュン（ミミオver 指ハート）
48:41 イケボだよ
48:48 萌え萌えキュン
49:20 指ハート難しい
50:40 ショート
55:12 しずかなおそうじ
56:36 指ハートガチ恋距離
58:24 どこだ♪どこだ♪
59:40 指ハート
1:04:18 うれし♪うれし♪
1:06:21 タイピング音
1:07:44 指ハート
1:08:50 めつず？
1:11:27 握力
1:16:15 指ハート
1:18:36 どさん（土産）
1:20:04 プリクラのイントネーション
1:20:34 むしゃむしゃ（＞＜）顔
1:22:42 むしゃむしゃ（＞＜）顔
1:23:43 むしゃむしゃ（＞＜）顔
1:25:05 寝起きのせい？
1:29:03 どこだ♪どこだ♪
1:32:48 うれし♪うれし♪
1:34:13 にゃん
1:35:32 つちふで（土筆）
1:36:36 ざーこ
1:39:20 時間過ぎるのはやい
1:42:52 10時に起きたかった
1:44:20 うれし♪うれし♪
1:45:57 焼き肉食べたい
1:47:00 むしゃむしゃ（＞＜）
1:47:22 ほうぎょ（豊漁）
1:48:03 カレー
1:50:06 下げる？
（かっちかちの冷奴）
1:56:47 どこだ♪どこだ♪
2:03:55 スープカレー
2:06:40 ろねーずのバカ
2:10:11 秋刀魚食べたい
2:13:21 足首掴んでるからね（＞＜）
2:17:41 食中毒
2:18:27 フライパン
2:18:44 月曜はおやすみ
2:19:16 どこだ♪どこだ♪
2:20:57 足首掴んでるからね
2:26:36 どこだ♪どこだ♪
2:27:44 うれし♪うれし♪
2:29:10 尻尾で飲む
2:30:32 どこだ♪どこだ♪
2:31:14 どこだ♪どこだ♪
2:33:28 ウインク
2:33:58 朝活休み
2:34:17 挨拶
2:38:11 ED

