# 動画: 【 昼活 / 雑談 】初見さんあと2人お願いします🙇‍♀️初見さん11→60人耐久☀️11月最初の挨拶ください！ROM勢さんも大歓迎✨️【 真白猫ミミィ / vtuber 】
# URL: https://www.youtube.com/watch?v=0jni8nFveE4
# 抽出日: 2026-02-20 16:01:50
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
※明日（11/3）夜配信（21時から）

1:52 OP
3:39 挨拶
4:49 タイトルPON
5:00 カメラが
6:07 体調
7:56 照れ顔涙目ガチ恋距離（チラチラ）
9:01 カウントしてないPON
10:27 起床11時
12:57 無料じゃないよ
16:16 むしゃむしゃ
16:23 お昼
17:57 リモコン紛失
20:51 グッズ梱包週間
22:48 気圧
23:23 むしゃむしゃ
25:34 フライパンどこ～
25:48 フライパン
30:14 ステッパー
30:31 時差
30:52 どこだ♪どこだ♪
31:35 リモコンどこいった
32:24 あった～
40:27 コメントマラソン
44:35 むしゃむしゃ
45:23 一箱使い切った
46:00 お水
47:41 むしゃむしゃ
49:31 むしゃむしゃ
50:12 ズビ（鼻啜り）
50:35 どや顔ガチ恋距離（ぷんぷん）
51:57 ワンコバナナ
53:17 どこだ♪どこだ♪
53:50 ホットドッグ
55:23 むしゃむしゃ
55:37 マック
59:00 チョコケーキ
1:00:16 お昼食べた？
1:00:56 映画
1:03:20 どこだ♪どこだ♪
1:03:40 学生の頃
1:09:17 タイピング音
1:10:22 バター派
1:11:24 ヨン（4DX）
1:11:31 4DX
1:12:19 お団子似合ってる
1:14:31 むしゃむしゃ
1:15:40 外せます
1:16:40 グルグル目
1:18:36 ディズニー
1:20:01 カウントが（ボブ）
1:22:56 食べられません
1:23:14 ロング
1:23:30 コメント欄が
1:23:52 清楚に見える
1:28:08 うれし♪うれし♪
1:28:18 グルグル目
1:29:13 むしゃむしゃ
1:29:42 団子なし
1:31:47 わいるの（ワイスピ）
1:35:10 団子
1:36:12 プラネタリウム
1:38:40 鬼滅の4DX
1:40:15 グルグル目（団子一個50kg）
1:45:14 4DX経験ある？
1:48:36 プラネタリウム事件とは
（2024/11/20の朝活）
1:49:58 タイピング音
（普通のプラネタリウムの日）
1:54:01 もう11月
1:55:27 クリスマス配信
1:57:07 クリスマス一緒に
1:58:56 ましろねがいるよ
2:00:12 ガシ
2:00:50 コマンドいち（コマンドー）
2:02:02 ちょっと待って
2:03:50 クリスマス一緒に
2:04:24 タイピング音
2:06:47 ASMR
2:07:46 シュワちゃん
2:09:30 オモレ（面白そう）
2:10:17 アーノルド・シュワルツェネッガー
2:12:46 うれし♪うれし♪
2:14:41 マッチョいいな
2:16:03 デデンデンデデン
2:17:31 ジム言い始めて3ヶ月
2:19:39 腹筋だけ
2:25:35 ステッパー10万回
2:31:18 どこだ♪どこだ♪
2:33:00 うれし♪うれし♪
2:33:04 ですわ
2:38:32 どこだ♪どこだ♪
2:39:30 うれし♪うれし♪
2:40:35 どこだ♪どこだ♪
2:41:00 秋から冬にかけて
2:41:34 都道府県埋め
2:46:57 誕生日埋め
2:47:48 ロング
2:54:06 四国の県名
2:54:15 愛知？
3:00:02 PONばれないように
3:01:47 首振りましろねーず
3:02:27 文旦
3:04:04 社会0点
3:05:11 掃除やめてもいいんだよ
3:05:31 おふろね頭の上
3:07:04 忘れてほしい
3:11:46 OMG（ビックリ顔）
3:15:14 掃除後でもいいんじゃない
3:16:47 眠たいときの字が汚くて
3:21:55 無料じゃないよ
3:26:24 うれし♪うれし♪
3:27:47 どこだ♪どこだ♪
3:30:06 どこだ♪どこだ♪
3:31:07 手フリフリ
3:32:31 ～3:35:26 離席
3:35:52 ただいまも
3:41:26 無料じゃないよ
3:46:56 水が一番
3:50:10 どこだ♪どこだ♪
3:51:30 どこだ♪どこだ♪
3:52:16 掃除しないと
3:53:54 どこだ♪どこだ♪
3:54:39 猫パンチ
3:58:59 寝坊しないよ
4:01:22 もう5時
4:02:44 ガチ恋距離（八重歯）
4:03:44 お酒入ってない
4:05:11 寝坊しない
4:07:03 あと30人？
4:08:06 どこだ♪どこだ♪
4:08:33 すぅ
4:08:41 絶対寝坊しない
4:09:52 メガホン？拡声器？
4:10:23 10月の寝坊
4:14:39 うれし♪うれし♪
4:16:39 どこだ♪どこだ♪
4:16:47 どこだ♪どこだ♪
4:19:22 ストゼロ梅どこに
4:19:39 ホラゲですね
4:24:07 祝日
4:24:57 絶対に起きます
4:25:53 にゃんNG
4:26:48 にゃん
4:27:24 にゃん
4:28:21 パパろね誕生日
4:29:32 明日は夜配信
4:29:43 スケジュール予定
4:30:48 ゼルダ
4:37:07 OMG
4:39:00 首振り
4:40:52 タイピング音
4:41:06 ボブに
4:42:14 にんじゅう
4:45:13 うれし♪うれし♪
4:49:46 後半ありがとうしか
4:49:57 手フリフリ
4:51:22 手フリフリ
4:55:48 挨拶
4:58:39 ED

