# 動画: 【 昼活 / 雑談 】挨拶＆初見さんの数だけステッパーチャレンジ☀️ROM勢さんも大歓迎✨️【 真白猫ミミィ / vtuber 】
# URL: https://www.youtube.com/watch?v=QEwiRNdUDdQ
# 抽出日: 2026-02-20 16:04:45
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
0:40 OP
2:53 挨拶
5:37 有酸素運動
6:09 タイピング音
6:22 大なんとかしとうすじ（大腿四頭筋）
6:31 お尻の大胸筋（大臀筋）
9:36 無料じゃないよ
11:55 起床10時
14:11 一家に一台
15:32 マイク殴った音
19:08 筋肉痛
19:21 心地いい
23:47 任して
25:22 カフェオレ飲んだ後
26:41 湿度60％室温25℃
28:19 違いますよ
32:34 ライデン
34:36 ふんふんふん
34:46 ふんど？
37:44 ステッパー画像が
38:06 照れ顔涙目ガチ恋距離
（ステッパーつらいよ）
39:07 筋肉ほしい
40:12 どこだ♪どこだ♪
42:15 むしゃむしゃ
44:08 気付いた
44:29 タイピング音
46:38 （＞＜）
47:35 腹筋マシーンタオル掛け
49:03 フライパン
50:03 筋トレグッズ
52:12 パパろね
54:57 運動器具起きるんだ（エコー）
58:46 唯一続いてる
59:30 気付いた
1:01:52 ステッパー開始（1セット目）
1:05:06 ふぅ
1:06:02 ふぅ
1:06:11 ダンベルが漬物石に
1:07:19 おいしょ
1:08:00 どうご？
1:10:06 ふんふんふん
1:11:33 なんてことを言うんだ
1:12:37 よいしょ
1:13:07 ちょっと休憩
1:14:27 裏返った
1:15:56 はぁはぁ
1:16:38 今697回
1:18:36 ふぅ・はぁ
1:19:34 お水
1:21:53 台パンしすぎ
1:23:55 よいしょ
1:24:24 936回
1:25:50 台パン
1:28:09 ゴン
1:29:50 運動不足で
1:34:41 計966回（1セット目）
1:41:19 これじゃない
1:42:33 計1280回
（挨拶197×5初見さん1×10メンギフ24×1高評価261×1）
1:44:22 気付いた
1:45:07 はぁ！
1:45:38 ウインク
1:48:55 タイピング音
1:52:07 2回溢してる
1:54:44 タイピング音
2:01:16 ドンキ
2:05:33 コミケ
2:11:41 ばーふて（Bauhutte）
2:14:34 スタバ
2:17:13 台パン
2:18:32 任しといて
2:19:30 掴んで離さない
2:20:14 ムキろねでPONなくなる？
2:24:41 優しく握るから
2:24:56 しょうけんづき（正拳突き）
2:28:12 筋肉集合
2:29:46 台パン
2:32:25 全身
2:33:22 ステッパー開始（2セット目）
2:33:47 どこだ♪どこだ♪
2:35:05 おいしょ
2:36:33 手フリフリ
2:37:23 おいしょ
2:37:51 現1138回
2:39:44 任しといて
2:42:51 計1756回
（挨拶251×5初見さん4×10メンギフ132×1高評価329×1）
2:43:46 現1349回
2:46:44 おいしょ
2:48:24 起きれなさそう
2:48:55 噛んだ
2:51:42 寝坊しないよ
2:52:55 豆乳
2:55:10 噛んだ
2:55:57 寝坊フラグバキ
2:56:48 青汁
2:57:02 おいしょ
3:00:12 おいしょ
3:01:30 お腹鳴った
3:02:52 ふぅ
3:03:03 計2007回（2セット累計）
3:11:34 ステッパー是非
3:12:30 唐揚げ
3:14:29 むなきん（胸筋）
3:15:26 計1962回
（挨拶272×5初見さん9×10メンギフ143×1高評価369×1）
3:20:29 台パン
3:23:31 どこだ♪どこだ♪
3:26:24 計算が
3:28:56 筋肉痛になるか否か
3:30:42 深呼吸
3:30:58 お水なくなりそう
3:33:22 ステッパー開始（3セット目）
3:33:33 うれし♪うれし♪
3:36:15 お歌
3:37:00 おいしょ
3:38:50 ふぅ
3:41:02 最大歩数
3:42:14 現2382回
3:43:07 ふぅ
3:44:43 ふぅ
3:46:26 おいしょ
3:51:36 どこだ♪どこだ♪
3:52:25 PONそんなにない
3:53:06 おいしょ
3:55:37 ステッパーとは
3:57:27 現2785回
4:00:55 ふぅ
4:01:44 計2867回（3セット累計）
4:05:05 お酒飲みたい
4:10:57 ステッパーお疲れ様会
4:11:55 ビールがんばって？
4:14:11 くぅ
4:16:28 挨拶
4:19:02 ED

