# 動画: 【 晩酌 / 雑談 】初見さん10人目標🌙お酒呑みながらまったりお話するよ～🍶ROM勢さんも大歓迎🌙【 真白猫ミミィ / vtuber 】
# URL: https://www.youtube.com/watch?v=VVRaYC69JGw
# 抽出日: 2026-02-20 15:59:21
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
※次の配信は日曜日13時から

0:41 OP
1:56 手フリフリ
2:07 挨拶
4:06 居酒屋楽しもっか
4:21 行きたいです
5:16 ストゼロ梅見つけた
8:17 ふん（開ける音）
8:34 キンキン
9:11 スタンプどこ～
9:53 チチチチ
10:52 KP
11:08 うま～い
11:42 見つけるまで半年
13:18 眠気を増幅
13:36 清楚verでお届け
14:00 深夜テンション
14:47 ハンドルネームに
15:02 OMG
15:58 照れ顔涙目ガチ恋距離
（いないいないばあっ！）
17:05 酔ってないですわよ
18:27 どこだ♪どこだ♪
19:21 冷房つけます
20:03 おつまみ
20:51 室温26.5℃
21:22 無料券
21:40 無料じゃないよ
23:05 ブラックフライデー
25:15 へいお待ち
26:19 にゃん
27:33 ストゼロ梅狙ってる
28:02 OMG
29:56 どこだ♪どこだ♪
31:09 どこだ♪どこだ♪
31:34 強くない
33:13 なりきり？
35:11 どこだ♪どこだ♪
35:29 無料じゃないよ
36:39 お酒飲みながら汗かいてる
41:56 忘年会
45:00 ましろねの取説
47:32 替え歌
49:00 どこだ♪どこだ♪
50:03 始める前に飲み始める？
51:56 よしよし
53:12 すぅ
53:30 懐きます
55:10 どこだ♪どこだ♪
58:54 好きなお酒
59:39 どこだ♪どこだ♪
1:00:59 タイピング音
1:01:49 どこだ♪どこだ♪
1:02:10 無人島に何持ってく
1:03:57 プロテイン
1:07:11 お酒の開拓
1:10:21 朝一の室温23℃
1:13:01 じゅうとう（十勝）
1:15:18 飲酒やらかしエピソード
1:18:34 どこだ♪どこだ♪
1:21:54 どこだ♪どこだ♪
1:23:52 1升瓶
1:25:42 カクテル
1:26:52 じょうりゅしゅ（蒸留酒）
1:29:26 まさよし（楽器正宗）
1:35:22 酔っぱらうと
1:38:46 顔にでる？
1:40:09 どこだ♪どこだ♪
1:40:49 どこだ♪どこだ♪
1:41:05 かいご（介抱）
1:49:56 どこだ♪どこだ♪
1:51:54 水色のカクテル
1:53:56 キス（帰巣本能）
1:54:34 どこだ♪どこだ♪
1:55:43 照れ顔
（ちょっと酔ってきちゃった）
2:01:40 無料じゃないよ
2:04:51 ガチ恋距離（ぶちゅちゅ）
2:08:43 BER行ってみたい
2:09:43 台パン
2:12:20 バーにもできるよ
2:16:36 お返しします
2:18:26 ギムレットってなんだ
2:22:10 人生経験で
2:32:34 夜ごはん
2:33:00 むしゃむしゃ（丸目）
2:34:00 シャカシャカ
2:36:34 バー
2:42:33 ばぶ（HUB酒）
2:46:44 はっかいざん（八海山）
2:56:05 どこだ♪どこだ♪
3:01:53 あと三口
3:02:36 実家に
3:03:54 モータープール
3:05:11 2日ください
3:07:36 にゃん
3:11:27 にゃんにゃん（エコー）
3:14:15 どこだ♪どこだ♪
3:16:57 にゃんNG
3:18:34 初見さん590人＆ボブ
3:23:04 アンケート
【乾杯いつがいい？】
　┣乾杯が先 58％
　┗名前呼びが先 42％
3:23:58 うれし♪うれし♪
3:25:52 ～ 3:29:13 離席
3:29:39 どこだ♪どこだ♪
3:33:11 認知
3:34:01 お腹すいた
3:35:07 笑顔
3:37:24 謎文化
3:39:24 月曜は昼配信
3:43:16 スケジュールどこ～
3:43:43 スケジュール（仮）
3:46:04 8時に起きるように
3:50:51 ユニコーンのかど（角）
3:55:11 白馬の王子様
3:57:36 配信してる間は難しいかも
4:02:13 足首一生掴んでる
4:06:34 朝活したあと
4:07:51 うれし♪うれし♪
4:08:42 置いてくの？
4:09:26 言いましたね
4:14:31 朝配信
4:17:45 足首掴んでる
4:30:21 うめがうめぇ
4:36:50 凄い声出た
4:37:35 どこだ♪どこだ♪
4:38:15 きれるましろねは面倒かも？
4:39:07 はぁーん
4:40:35 どこだ♪どこだ♪
4:41:31 遅起き反省
4:43:19 おはよう？
4:44:02 うれし♪うれし♪
4:46:24 ホラゲ耐久
4:46:41 きれたこと
4:48:23 とうじ（統治）
4:48:40 どこだ♪どこだ♪
4:52:13 どこだ♪どこだ♪
4:57:08 挨拶
4:58:50 日曜日13時
5:00:47 ED

