# 動画: 【 晩酌 / 雑談 】初見さん5人＆挨拶200人目標✨️金曜日の夜を一緒に過ごそう～！ROM勢さんも大歓迎✨️【 真白猫ミミィ / vtuber
# URL: https://www.youtube.com/watch?v=4eDxt6TKLOk
# 抽出日: 2026-02-20 16:04:08
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
0:57 OP
3:24 挨拶
5:31 レディな声？
6:01 うそーん
6:13 任しといて
6:44 フェロモンでてる？
7:31 初期ろねの声
9:10 チャリーンろねーず復活
10:36 無料じゃないよ
11:26 ん？
15:18 何分に乾杯できるか予想
16:40 元気もりもり
16:59 湿度66％
20:28 ふぎょう（不漁）
20:39 OMG
21:55 どこだ♪どこだ♪
22:26 乾杯目標40分
22:53 やったぜ
26:06 お家好きすぎて
27:22 新しい知識ゲット
29:17 ミミオ
29:42 OMG
32:54 照れ顔どや顔ガチ恋距離
36:21 なぞかけ
36:31 すぅ
36:38 悩んでる
38:01 むしゃむしゃ
38:40 行先ルーレット
40:04 ガンダムネタ（1st）
41:46 ましろねーず訪問
44:28 ハート目
44:40 ミミオ
47:40 カメラブラブラ
49:20 一人旅
51:56 迷子
52:53 OMG
53:24 任しといて
53:41 反抗期なんだから～
55:22 方向音痴
1:07:07 缶じゃない
1:07:55 飲むお酒
1:09:26 むしゃむしゃ
1:09:51 おつまみなし
1:11:06 熱燗の季節
1:13:11 KP
1:13:22 炭酸抜けてる
1:14:26 直前に
1:15:51 ごはん
1:16:52 明日からがんばる
1:20:24 毎回言ってる
1:21:24 お酒飲ん後
1:23:51 そんなことないよ～
1:24:47 いつもは食べてる
1:25:53 買い物
1:28:20 冷蔵庫に入ってるもの
1:35:57 ローストビーフ
1:38:24 キャベツばっか
1:40:42 アルミ缶の上にあるみかん
1:45:37 スタバ
1:46:11 タイピング音
1:46:17 お酒消えた
1:49:14 ガトーショコラ
1:50:56 炭水化物の中で好きなもの
1:53:26 腸の働き超よくする
1:59:54 明日も飯テロ
2:02:44 豆腐のおいしさ
2:03:11 口の中でしゅわ？
2:04:46 寝坊したくない
2:07:51 どこだ♪どこだ♪
2:08:06 マック
2:12:42 ミミオ
2:15:52 献立決め配信
2:16:49 絹・木綿
2:20:03 コメント欄が
2:22:47 寝起きASMR
2:22:55 どこから声だした？
2:24:22 昨日のホラゲ
2:28:04 にゃんちゅう？
2:31:17 声真似できる？
2:33:46 ムスカ大佐
2:34:45 テンション
2:35:44 オンジ
2:37:24 ツッコミ
2:39:07 声のだしやすが
2:42:42 ガチ恋距離ウインク
2:43:46 替え歌？
2:47:10 ～ 2:49:36 離席
2:51:42 みずながじゃ（水流）
2:52:24 ウインク
2:53:26 ガチ恋距離
（お兄ちゃんおやすみ）
2:54:09 言っちゃった
2:54:33 むしゃむしゃ
2:56:27 ビックリ顔
2:57:54 画質
2:59:24 日付変わった
3:00:12 ビックリ顔
3:02:23 おはよう？
3:04:45 （＞＜）
3:08:26 台パン
3:09:08 ツボった
3:13:12 ポエムマロ
3:17:04 あつが（敦賀）
3:18:14 浮気...？
3:23:00 やじょうじま（八丈島）
3:28:15 挨拶
3:30:11 絶対起きる
3:31:33 ED

