# 動画: 【 朝活 / 雑談 】おはよう300人目標☀️MRI検査前にまったりお話！初見さん・ROM勢さんも大歓迎✨️【 真白猫ミミィ / vtuber 】
# URL: https://www.youtube.com/watch?v=UYXIiE0RS6U
# 抽出日: 2026-02-20 16:17:26
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
1:08 OP
3:36 挨拶
4:20 背中にクッション
4:25 腰への布団
5:05 MRI撮りにいく
7:16 3回取り直し
7:52 清楚（きらきら）
10:40 無料じゃないよ
11:54 フライパン
12:07 フェードアウト
16:20 MRIに緊張
26:22 記念に
29:45 どこだ♪どこだ♪
33:44 どういう意味かな
39:36 switch2抽選
53:23 むしゃむしゃ
56:28 寝相悪い
58:06 前髪
1:02:31 どこだ♪どこだ♪
1:03:13 変化に気付く？
1:05:36 咳払い
1:05:53 猫パンチ
1:06:42 忘れろビーム
1:08:07 思い出すんだビーム
1:11:26 どこだ♪どこだ♪
1:17:13 うれし♪うれし♪
1:19:04 こんな感じ？
1:25:34 どこだ♪どこだ♪
1:26:02 DVR機能
1:26:21 どこだ♪どこだ♪
1:27:36 どこだ♪どこだ♪
1:28:07 ガラガラ声
1:32:11 無料じゃないよ
1:33:28 やったぜ（エコー）
1:37:43 口癖
1:39:19 うれし♪うれし♪
1:43:03 だいたい1週間で
1:48:31 ドヤ
1:52:34 一人ツッコミ
1:55:20 ひき笑い
1:56:53 漢字でGO
2:02:52 エアコン掃除
2:04:21 どこだ♪どこだ♪
2:05:53 洗濯機掃除
2:07:14 やるときはやる女だべ
2:14:05 タイピング音
2:18:27 台パン
2:18:56 語彙力が
2:21:07 元気になる一言
2:29:18 どこだ♪どこだ♪
2:31:08 ペペペ
2:32:41 TEL
2:33:31 ～ 2:36:44 OP（離席中）
2:40:24 やる気
2:44:23 時すでにお寿司
2:51:43 休みの前の日
2:52:27 ガラガラ声
2:57:23 みんな早起き
3:06:25 二十日？（8日）
3:08:01 何時起き？
3:12:40 いつもはPONしない？
3:17:34 台パン
3:18:30 タイピング音
3:22:15 ぬいぐるみ抱っこ
3:22:39 ほくべい（北欧）
3:25:02 足首掴んでるから
3:29:51 飲み物クイズ
┗3:37:05 答え（丸目）
3:30:59 チチチチ
3:35:49 チチチチ
3:37:01 6時20分起床
3:38:31 丸目
3:45:35 挨拶
3:46:22 どこだ♪どこだ♪
3:48:28 ED

