# 動画: 【 朝活 / 雑談 】おはよう300人目標☀️今週最初のおはようください！初見さん・ROM勢さんも大歓迎✨️【 真白猫ミミィ / vtuber 】
# URL: https://www.youtube.com/watch?v=2CIRCXsMCcw
# 抽出日: 2026-02-20 15:59:58
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
0:53 OP
2:27 挨拶
2:31 声裏返る
3:14 喉
4:20 昨日早く起きて
5:12 照れ顔ハート目ガチ恋距離
5:47 ウインク
6:36 無料券
7:38 のぼる（昂る）
11:56 起床6時
12:11 外が出れる
13:45 自己反省
15:12 けっこうな異変
16:02 うれし♪うれし♪
17:03 あっ
19:04 むしゃむしゃ
19:31 室温24℃
20:13 むしゃむしゃ
21:41 朝ごはん
24:44 ロングスリーパー
29:04 噛んだ？
29:54 たかまる（昂る）
32:11 室温25℃
33:08 ヴォイス
37:42 二度寝
39:12 任しといて
41:11 うまみみひがしかぜ（馬耳東風）
43:10 任しといて
47:01 照れ顔ガチ恋距離
【チャームポイント3つ】
　┣47:20 八重歯
　┣47:36 おめめ
　┗47:55 猫型絆創膏
51:28 さむけ（寒気）
52:19 どこだ♪どこだ♪
55:13 わいんがこわいん
55:53 うれし♪うれし♪
57:08 ステッカー作りたい
57:29 耳は4つ目
1:00:04 たるをもったる
1:01:00 間違えた
1:02:15 無料じゃないよ
1:05:16 お歌
1:11:07 あと何人だ？
1:11:56 やっちまったね
1:14:07 ひきとりけん
1:15:38 うれし♪うれし♪
1:16:29 噛んだ
1:18:13 クールになったら
1:19:20 眠くない
1:22:20 萌え萌えキュン
1:23:17 メンタル
1:25:55 どこだ♪どこだ♪
1:26:44 みんな大好きですから
1:27:06 クールましろね
┗1:27:08 台パン
1:30:16 うそーん
1:31:06 萌え萌えキュン（やる気あるver）
1:32:49 ウインクできません
1:37:27 クールな女の子
1:37:44 無理無理言わないの
1:38:21 イケボ
1:39:55 お歌
1:42:14 コメント復旧
1:42:21 どこだ♪どこだ♪
1:42:56 出会えて幸せ
1:43:46 ミミオ
1:44:04 憧れ
1:45:46 萌え萌えキュンは1日1回限定
1:46:42 ウインクの調子
1:50:33 1回もない
1:55:26 デレ？
1:58:29 デレ？
1:58:52 うう～
1:59:31 ダーリン大好き
2:01:54 台パン
2:05:05 お歌
2:06:32 すぅ
2:06:36 ましろねーず大好き
2:07:14 ざぶ？（座布団配信）
2:09:14 コンセプト
2:09:25 全身
2:10:12 愛されたい・愛したい
2:12:41 タイピング音
2:13:59 地雷服です（量産型）
2:15:20 おかしいな（PONに）
2:16:33 ふびん（不躾）
2:16:49 今後の目標
2:18:52 タイピング音
2:20:01 なぞかけ
2:21:41 一家に一台
2:22:57 全部保留に
2:23:16 アキネイター
2:25:53 フライパンどこいった
2:26:15 フライパン
2:29:08 秋のPON祭り
2:29:41 NGワード
2:30:51 清楚だよ
2:32:54 漢字でGO
2:34:22 語尾にゃんNG
2:35:10 清楚じゃなかった
2:36:44 無料じゃないよ
2:37:50 うれし♪うれし♪
2:38:11 うれし♪うれし♪
2:38:26 思ってたのと違う
2:39:47 肯定されると照れる
2:40:29 せつじつ（誠実）
2:43:00 だいかんき
2:45:11 台パン
2:45:20 任しといて
2:48:03 おんれい（怨霊）
2:50:09 淑女
2:50:32 タイピング音
2:54:46 むしゃむしゃ
2:56:05 （鱓）
2:57:46 足首掴んでるよ
2:58:57 お酒飲みたい
3:00:31 ひぃ
3:02:59 夜ごはん
3:05:06 わかってるんだからね
3:07:40 音ゲー
3:09:19 ストゼロ梅出てこない
3:10:04 なべほうこう（奉行）
3:11:57 布団が吹っ飛んだ
3:16:17 醸造
3:16:42 じょうじょう（醸造）
3:20:44 本気を出せば
3:23:23 ダメです
3:24:49 うれし♪うれし♪
3:27:37 半角カタカナF8キー
3:33:41 ctrl
3:38:20 耳ぴょこぴょこ
3:41:27 うれし♪うれし♪
3:44:19 うれし♪うれし♪
3:44:42 飲み物クイズ
┗3:51:07 答え
3:45:40 チチチチ
3:53:58 カレー
3:59:28 やまかんぶ（山間部）
4:00:33 漢字の読みが
4:02:00 お昼
4:02:44 かみかみ
4:03:03 キラ目
4:03:07 照れ顔涙目ガチ恋距離（セリフ）
4:04:34 挨拶
4:06:41 元気いただいてます
4:08:33 ED

