# 動画: 【 朝活 / 雑談 】おはよう×1円と初見さん×5円と高評価×1円でランチ代決定！？ROM勢さんも大歓迎✨️【 真白猫ミミィ / vtuber 】
# URL: https://www.youtube.com/watch?v=NwJpyuWFa9s
# 抽出日: 2026-02-20 16:18:35
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
1:10 OP
3:20 挨拶
4:10 カウンター寝坊
5:50 よっこらしょ
7:47 無料じゃないよ
8:14 猫パンチ
11:34 ましろねパワー受け取って
12:09 ガチ恋距離
13:26 どこだ♪どこだ♪
13:46 10分前起床
15:35 どこだ♪どこだ♪
15:56 フライパン
16:43 無料じゃないよ
17:50 二つ名
20:17 咳ミュート
22:43 どこだ♪どこだ♪
26:59 語尾「だじょ～」
27:36 どこだ♪どこだ♪
29:47 タイピング音
32:34 うれし♪うれし♪
33:09 無料じゃないよ
36:30 雨女
42:49 ましろねが天気
49:44 にっこにこで
50:37 タイピング音（スタバ新作）
52:53 ニコッ
55:02 お姫様抱っこで
56:10 たからぐ（宝具）
58:29 ぬいぐるみ抱っこ
1:01:47 お歌
1:05:20 お酒解禁は
1:12:34 お酒の賞味期限
1:14:01 うれし♪うれし♪
1:14:13 どこだ♪どこだ♪
1:15:35 どこだ♪どこだ♪
1:18:55 メンバーバッジ
1:22:42 いつかワイン楽しみたい
1:24:39 どこだ♪どこだ♪
1:27:40 大丈夫ど？
1:29:52 なっちゃる
1:31:54 大人なレディに
1:35:26 あんどころ（暗所）
1:38:42 どこだ♪どこだ♪
1:39:34 どこだ♪どこだ♪
1:41:23 みんな待ってて
1:42:20 負けず嫌い発動
1:46:43 うれし♪うれし♪
1:48:10 どこだ♪どこだ♪
1:50:17 大人なレディの歌枠
1:52:33 心を鬼にして
1:55:12 どこだ♪どこだ♪
1:57:21 七夕
2:01:42 これでも読めるように
2:03:16 猫パンチ
2:06:36 お歌
2:09:07 大人とは
2:13:18 どこだ♪どこだ♪
2:14:34 お歌
2:17:45 タイピング音
（たなばたさま視聴ミュート）
2:22:31 スケジュール
2:23:38 設定
2:23:52 ASMR
2:27:04 うれし♪うれし♪
2:30:37 好きなもの
2:31:56 お酒は二十歳から
2:35:53 どこだ♪どこだ♪
2:36:50 「こら」
2:37:00 忘れた
2:38:28 どこだ♪どこだ♪
2:38:41 たるをもったる
2:40:23 どこだ♪どこだ♪
2:42:37 うれし♪うれし♪
2:42:50 どこだ♪どこだ♪
2:44:22 バナナ
（食べたいましろね VS 食べさせたくないましろねーず）
2:47:53 「きら」キラ目
2:51:54 ケーキ
2:53:34 うれし♪うれし♪
2:57:50 どこだ♪どこだ♪
3:02:31 どこだ♪どこだ♪
3:07:18 飲み物クイズ
┗3:17:51 答え
3:11:05 こっかん（黒棺）
3:11:36 お歌
3:16:44 チチチチ
3:21:02 カウンター0に
3:22:53 「ざーこ」
ハイライトオフガチ恋距離
3:27:31 うれし♪うれし♪
3:29:28 どこだ♪どこだ♪
3:30:11 願いごと
3:31:20 ガチ恋距離ウインク
3:37:56 人見知り
3:46:34 なぜ禁酒
3:48:54 計算1007円
（挨拶398×1初見さん26×5高評価479×1）
3:50:44 ホラゲ
3:53:01 どこだ♪どこだ♪
3:57:01 無料じゃないよ
3:57:22 どこだ♪どこだ♪
4:03:00 うれし♪うれし♪
4:10:20 むしゃむしゃ（バナナ再び）
4:15:06 大人な食べ方？？
4:19:43 6時～20時まで
4:27:04 どっちがいい？
4:33:32 延長はいつものこと
4:41:27 最終金額1173円
（挨拶437×1初見さん40×5高評価536×1）
4:43:02 うれし♪うれし♪
4:46:03 挨拶
4:50:11 ED

