# 動画: 【 朝活 / 雑談 】おはよう×1円と初見さん×5円と高評価×1円でランチ代決定！？初見さん・ROM勢さんも大歓迎✨️【 真白猫ミミィ / vtuber 】
# URL: https://www.youtube.com/watch?v=C5KUGNnyApI
# 抽出日: 2026-02-20 16:16:40
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
1:45 OP
3:48 いない
4:00 挨拶
5:44 でもな？
11:30 三連休
13:08 土用丑の日
15:12 朝ごはん食べてない
16:42 うれし♪うれし♪
17:20 起床7時40分
19:36 鬼滅の刃
31:42 ウニ
32:02 昨日豚丼食べた
35:44 どこだ♪どこだ♪
36:44 無料じゃないよ
38:40 手フリフリ
40:27 どこだ♪どこだ♪
45:38 かみかみ
46:07 どこだ♪どこだ♪
48:57 うなぎの刺身がない理由
49:46 どこだ♪どこだ♪
52:40 目見開く
54:24 しらいし（白石温麵）
57:36 ウツボ
58:23 きんぎょ（禁漁）
1:00:30 フライパン
1:02:32 稚魚
1:02:40 ほうぎょ（豊漁）
1:03:10 うのつくホラゲ
1:03:55 しろやき（白焼き）
1:11:55 清楚？
1:15:18 どこだ♪どこだ♪
1:16:07 ふっはっは
1:16:51 ましろね＝漢字読めない
1:17:45 ましろね悪くないもん
1:19:29 どこだ♪どこだ♪
1:20:25 「ゴン」いてっ
1:21:29 ごりきりじゅう（五里霧中）
1:22:54 ふっはっは
1:27:27 無料じゃないよ
1:30:06 マック新作
1:31:50 蟷螂、蜻蛉、大透翅
1:32:52 お歌
1:36:47 お酒飲むなら
1:39:54 おおらか（強か）じゅんすい（生粋）
1:40:49 どこだ♪どこだ♪
1:48:53 飲み歌枠
1:54:17 蒲鉾・饂飩・雲呑
1:56:36 ましろねバーガー
1:58:38 むしゃむしゃ
2:01:17 微レ存
2:07:01 タイピング音
2:08:59 後付けの「にゃん」
2:12:14 バナナ
2:19:56 バーガーキング
2:20:43 ざーこ
2:24:34 どこだ♪どこだ♪
2:26:12 ラッキーピエロ
2:27:37 タイピング音
2:28:24 笑顔「はぁ？」
2:30:22 マイクラの村人（VC:真白猫ミミィ）
2:30:47 台パン
2:33:47 タイピング音
2:34:33 ドヤ
2:37:03 めっちゃ好きやねん
2:39:11 ゆっくりましろね？
2:41:17 那覇
2:48:13 マイクラやってる？
2:52:34 どこだ♪どこだ♪
2:55:37 （＞＜）顔
2:57:02 何時まで？
2:58:40 あくび？
3:02:02 時間の計算
3:02:26 ユッケ食べたことない
3:06:42 アブラボウズ
3:07:36 タイピング音
3:10:50 皮脂漏症
3:11:21 卵焼き
3:17:14 あくび
3:23:36 うれし♪うれし♪
3:25:40 お酒と一緒なら
3:26:33 大阪の「家和らぎ」
3:31:35 居酒屋
3:38:15 日本酒の利き酒
3:38:57 饒舌
3:40:42 うれし♪うれし♪
3:52:20 無料じゃないよ
3:55:41 たこせん
3:56:55 伸び
4:02:47 飲み物クイズ
┗4:16:34 答え
4:03:32 チチチチ
4:07:21 巻繊汁
4:07:35 お歌
4:13:10 どこだ♪どこだ♪
4:15:22 チチチチ
4:16:59 「ゴン」いたっ
4:19:09 台パン
4:20:57 めんもくやくぎ（面目躍如）
4:21:43 お歌
4:23:18 HP3
4:23:30 お歌
4:29:17 台パン
4:31:00 バナナ
4:31:11 HP（エコー）
4:32:34 HPエコー
4:33:40 エコー
4:38:21 計算918円
（挨拶382×1初見さん14×5高評価466×1）
4:39:47 うれし♪うれし♪
4:48:45 メンバーシフト？
（メンギフ祭り）
4:53:19 間違えない
4:54:05 ナイギフ→ナイシフへ？
5:02:31 台パン
5:04:08 どこだ♪どこだ♪
5:08:00 深呼吸？
5:12:27 バナナ
5:20:12 泣き顔ガチ恋距離（会いたい）
5:20:31 台パン
5:29:46 最終1009円
（挨拶415×1初見さん16×5高評価514×1）
5:35:32 挨拶
5:38:50 ED

