# 動画: 【 雑談 】お昼からまったりお話しよ～！ROM勢さんも大歓迎！【 真白猫ミミィ / vtuber 】
# URL: https://www.youtube.com/watch?v=YkgAYN4Z5Ms
# 抽出日: 2026-02-20 15:51:58
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
※明日（1/12）の配信13時から

0:52 OP
2:30 挨拶
2:50 元気もりもり
3:59 元気もりもりましろねまん
4:55 照れ顔涙目ガチ恋距離（チラチラ）
8:35 昨日16時まで寝てた
9:14 無料券
10:40 にゃん
11:20 カフェオレ砂糖なし
13:20 31年後にアニメ化
14:50 視力悪くなってる
15:04 緑たくさん見ないと
16:34 任せて
16:45 起床11時
17:38 朝ごはんのおやつ
17:45 丸目
17:51 むしゃむしゃ
19:00 滑舌
23:37 猫の日に備えて
29:40 やぎの鳴き声のときも
29:59 早口
33:20 表情筋鍛えてます
39:07 視力2000あがった
39:29 にゃん
42:15 元気もりもりましろねまん
44:12 OMG
48:20 言い方違う
54:17 足首掴んでるからね
57:14 ボンド付き
57:45 足首掴んでるからね
1:00:14 隠れる？
1:02:05 速報
1:05:23 猫の日ルーレット
1:07:57 OMG
1:09:14 腕何本
1:11:49 にゃん
1:16:32 明日の配信
1:17:11 1の倍数
1:17:58 ふっふっふ
1:19:23 たけとう（竹筒）
1:19:32 ガスボンベ？
1:20:34 にゃんにゃん
1:21:09 ハートも掴んでるからね
1:22:08 整数？
1:23:31 台パン
1:25:27 たけつづ（たけづつ）
1:26:37 酸素ボンベ
1:31:16 にゃん
1:33:17 ヘリウムガス
1:34:50 やんす
1:37:56 にゃんだって
1:38:01 九九言えるよ
1:39:20 にゃんでごわす
1:40:08 任しといて
1:40:11 七の段
1:40:15 7×4＝24？
1:40:42 あれ？
1:41:32 あぶねー？
1:44:11 九の段
1:44:34 9×6＝64
1:44:36 9×7＝88
1:45:27 自分が怖い
1:46:47 OMG
1:47:47 拡散？九九言えるって？
1:49:56 九九言える？
1:53:48 ママろねには
1:56:14 まだ3歳
1:58:26 年末には言えるかな
1:59:22 電卓持ち歩きましょう
2:01:32 19の二乗
2:03:31 平方数
2:07:32 喉から音出せる
2:08:00 体育
2:09:37 ボイパ
2:11:06 理科は苦手
2:13:00 身長
2:13:17 いつか3D
2:16:46 家庭科は得意では
2:18:21 なんとかバイク
2:19:33 握力
2:21:17 願望（身長）
2:21:50 switch2
2:24:26 裁縫
2:25:41 ASMR
2:26:30 部活
2:29:21 冷房
2:31:57 玉結びと玉止め
2:34:43 伸び＆あくび
2:35:34 わいんがこわいん
2:39:22 室温24.9℃
2:40:56 暖房2回ほど
2:41:53 ぞうに（善哉）
2:43:24 歌枠
2:47:22 室温25℃
2:50:50 花粉
2:51:57 クッキー&クリームよりも
2:54:31 お腹空いてきた
2:56:03 愛よりお金
2:58:46 キラ目（ジュルリ）
2:59:34 タイピング音
3:02:16 明日の配信
3:05:17 文明堂
3:07:13 むしゃむしゃ
3:08:30 成人式
3:13:36 タイピング音（ポンカン）
3:14:57 タイピング音
3:16:30 特殊な訓練とは
3:17:16 むしゃむしゃ
3:21:35 タイピング音
3:32:22 ブーメラン
3:34:30 （＞＜）・丸目
3:37:17 ベビーカステラ
3:41:16 カフェオレ・コーラ
3:43:34 特殊な訓練？
3:44:43 たばこ
3:44:52 偏見
3:46:07 腹筋
3:47:52 ショート
3:49:26 ドヤ顔で報告
3:50:07 ショート
3:53:20 手フリフリ
3:56:28 ショート
3:58:21 猫耳削れない
4:01:13 カフェオレ毎日3回
4:05:14 ブラック飲む人多い？
4:06:43 人生経験で
4:16:43 配信外でのお酒
4:19:04 手フリフリ
4:19:21 さけぜい（酒税）
4:19:37 シーシャバー
4:26:40 肉じゃが
4:32:02 唐揚げ好き
4:33:20 ハート目
4:37:05 挨拶
4:40:39 ED
4:41:09 Cパート

