# 動画: 【 雑談 】ハッピーバレンタイン！一緒に過ごそっ🍫✨️初見さん・ROM勢さんも大歓迎！【 真白猫ミミィ / vtuber 】
# URL: https://www.youtube.com/watch?v=JWpHL-XgaWA
# 抽出日: 2026-02-20 15:47:01
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
1:42 OP
4:13 挨拶
6:07 11時30分起床
6:24 昼寝
9:30 涙目
9:42 照れ顔ハート目ガチ恋距離（チラチラ）
13:17 白馬の王子様はいつ
17:04 皆の中でよく寝る猫の認識
18:37 頭が起きてない
19:28 むしゃむしゃ
19:50 5個作った（2個食べた）
20:31 フフ
22:21 ガチ恋距離（八重歯）
26:17 幸せ感じてる？
37:33 ろねろね注入
37:51 湿度35％
45:53 加湿器
47:46 スタバ
49:24 カフェオレ
55:22 ガチ恋距離（ぶちゅちゅ）
1:00:54 糸目
1:02:11 ガチ恋距離（ウインク？）
1:03:51 ウインクのやりかた
1:05:34 糸目
1:06:44 笑顔
1:09:03 ウインクできない日
1:09:44 ウインク
1:11:22 ホワイトデー
1:14:02 ガチ恋距離（耳）
1:15:02 目見開き
1:15:43 表情筋
1:20:24 ろうほ（老舗）
1:20:47 はんてい（制定）
1:23:50 目見開き
1:24:44 目見開きながら声出してみて
1:25:59 ビックリ顔
1:26:37 チョコをちょこっと
1:33:24 かみかみ
1:35:14 しょぼん顔
1:43:00 謎の熱出てから
1:47:26 ふっはっは
1:48:04 ましろねーずドーナツ
1:50:46 バレァ？
1:58:27 型
2:04:04 サイズ（親指くらい）
2:05:35 3分クッキング
2:08:27 パキッ
2:10:50 3分クッキング
2:13:04 モグモグ
2:16:02 パパろねに
2:17:26 いびつだけど
2:19:01 サイズ（AirPodsくらい）
2:26:45 ネットプリント準備中
（1週間限定？）
2:27:47 ネトプリ写真
2:30:13 全身
2:30:39 清楚
2:32:35 まだPONしてない
2:33:12 お歌
2:35:38 PONなし配信
2:36:51 替え歌
2:39:06 クールデビュー？
2:39:34 任せといて
2:46:48 むしゃむしゃ
2:48:36 テレテレ
2:49:22 清楚
2:50:57 クールver（台パン）
2:55:27 替え歌
2:55:55 アルヘミスト（ALCHEMIST）
2:59:30 うれし♪うれし♪
2:59:37 台パン
3:01:31 タイピング音
3:04:07 リップ落とした
3:10:40 お歌
3:12:16 耳ぴょこぴょこ
3:17:44 ASMR
3:18:50 怪談
3:19:50 語尾にゃん配信
3:26:10 可能性大（22分語尾にゃん）
3:27:22 囁き
3:29:57 挨拶
3:34:51 ハート目
3:36:57 ED
3:37:05 ～ (3:39:12) Cパート

