# 動画: 【 雑談 】初見さん10人目標☀️お昼からまったりお話しよ～！ROM勢さんも大歓迎✨️【 真白猫ミミィ / vtuber 】
# URL: https://www.youtube.com/watch?v=em8pchK63SU
# 抽出日: 2026-02-20 15:53:26
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
0:39 OP
2:52 挨拶
2:59 手フリフリ
3:19 起床7時
4:07 大掃除終わらない
6:04 残ってる場所
7:01 切り抜かれてる
10:27 無料じゃないよ
13:49 にゃん
14:40 明日で終わらせたい
16:42 愛より金
19:46 年越しの準備まだ
20:32 ぎりぎりにならないと
24:55 愛を形で表現
30:36 蕎麦買った
39:22 確定申告
44:23 年越しハイタッチじゃんぷ
47:56 歌枠
48:18 明日は11時30分予定
51:33 運動（思ってはいる）
54:17 実家でも
59:47 お年玉ダジャレ
1:02:04 ジム
1:03:30 ボボボボボ
1:10:05 照れ顔ガチ恋距離ウインク
1:11:52 愛ってなんだろう
1:13:10 2026回踏んだそば
1:16:46 冬コミ
1:18:37 虚数
1:20:32 ガシ
1:20:44 運転しやすい掴み方？
1:23:42 スパチャ＝愛？
1:25:22 ソフトタッチ
1:26:12 ふっはっは
1:29:52 任しい
1:31:13 ダジャレ5個
1:33:44 けつのうきん（結納金）
1:34:05 タイピング音
1:39:23 31年後
1:44:59 年内ラスト配信
1:49:41 年末ジャンボ
1:57:42 有馬記念
2:00:27 どこだ♪どこだ♪
2:03:57 来年はうし！？
2:22:37 公営ギャンブルは所得が
2:29:12 うれし♪うれし♪
2:29:37 捺印
2:35:21 ウインク
2:37:15 しゃしゃしゃい
2:37:27 ガチ恋距離ウインク
2:41:00 噛んでる方が
2:41:37 キラ目
2:43:56 うれし♪うれし♪
2:44:23 噛めば噛むほど
2:48:31 お昼
2:52:27 マックorマクド
2:52:51 マクドシェイク
2:56:40 ケンタッキーの呼び方
3:00:01 アイスコーヒー（冷コー）
3:00:25 ユニバ
3:03:36 イントネーション
3:06:22 嘉門達夫
3:09:51 出汁
3:12:41 やまぐるま（山車）
3:13:10 イントネーション
3:14:34 日出
3:15:05 はいじる（灰汁）
3:18:33 お水
3:19:15 娘娘
3:19:57 読めるよ
3:21:17 かがみうち（境内）
3:21:34 グルグル目
3:22:29 御神酒
3:22:40 タイピング音
3:25:30 境内のイントネーション
3:32:55 頭下げてる
3:33:24 お雑煮に入れる餅
3:49:33 葉物
3:51:17 お歌
3:52:36 音だけお届け
3:55:45 食べすぎた報告
4:00:17 食品系の案件きたら
4:00:52 まだ切ったことない
4:04:08 照れ顔ガチ恋距離（にゃん）
4:07:02 ASMR
4:12:41 想像できない
4:13:46 OMG
4:14:36 台パン
4:15:24 ましろね情報
4:18:00 にゃー
4:18:37 嚙んだ
4:19:58 照れ顔ジト目ガチ恋距離
4:20:28 あっ
4:24:45 寝坊もうしません
4:25:33 カウンターが28人
4:26:40 カウンターが
4:27:55 うれし♪うれし♪
4:29:31 挨拶
4:32:00 ED

