# 動画: 【 飲酒 / 雑談 】初見さん10人＆挨拶300人目標☀️新衣装ではじめての飲酒配信！ROM勢さんも大歓迎✨️【 真白猫ミミィ / vtuber 】
# URL: https://www.youtube.com/watch?v=FAAIOJeSw1M
# 抽出日: 2026-02-20 16:10:25
# 対象ユーザー: @ageha1st
# コメント数: 1

--- コメント 1 ---
投稿者: @ageha1st
本文:
1:23 OP
3:35 挨拶
4:06 暑い
5:16 熱風がぶわって
7:42 バーチャル関西37℃
9:50 ウインク
10:41 無料じゃないよ
11:46 照れ顔涙目ガチ恋距離
（セリフ・にゃん）
15:25 「ねぇ～」がヤギみたい
18:47 かわいいよね
22:11 どこだ♪どこだ♪
22:21 ホラゲ歌枠
24:00 長期休み
25:36 うれし♪うれし♪
28:56 語尾伸ばすのやめてみる
29:58 どこだ♪どこだ♪
32:22 40時間・・？
37:46 語尾伸ばしがち
40:31 秋服
41:23 無料じゃないよ
42:00 うれし♪うれし♪
43:01 水風呂
44:00 社会人時代
45:12 夏と冬
47:47 サウナ
49:24 とうけい（設計）
53:41 からだおもて（体表）
56:57 飲むお酒
（－196のシャインマスカット）
59:02 うれし♪うれし♪
59:27 なぞかけ
1:00:30 331年
1:00:58 開きません
1:01:05 開きました
1:01:30 ひらけ（開ける）
1:02:32 KP
1:02:44 あ～うまい
1:03:46 朝ごはん食べた
1:06:14 いつでも作れる
1:08:10 おつまみ
1:08:53 駄菓子買ってきた（写真）
1:09:36 いつ食べたんだろ
1:14:51 ミンティア溶けてて
1:18:54 6年4組（居酒屋）
1:20:45 いっとんかい（一斗缶）
1:22:47 いたっ
1:23:04 手元配信
1:28:43 ギフト確認
1:30:38 どこだ♪どこだ♪
1:38:50 ましろねに酔っていくかい
1:40:51 駄菓子（写真）
1:42:47 一斗缶とは
1:50:15 豆乳をソイ？
1:50:46 うぇきぺでぃあ
1:51:17 ベロンベロン
1:52:53 しゃくかんほう（尺貫法）
1:54:11 ソイは大豆
1:58:26 お酒持ってなかった
1:59:26 再度KP
2:01:46 夢
2:05:16 しんとく（心得）
2:05:27 足首掴んでるからね
2:07:18 夢占い
2:15:11 どこだ♪どこだ♪
2:17:16 蜂に追いかけられる夢
2:20:21 飛行機
2:24:09 衣装の夢
2:25:32 鮭食べたいwowwow
2:27:30 ウインク
2:28:20 机からひょっこり
2:27:51 さいはんきかん（三半規管）
2:33:04 アサイー
2:33:38 乗り物酔い
2:37:22 バラ科ダメ
2:38:05 フェリー2回
2:40:44 ゲームで一番酔ったもの
2:45:23 蛍みたことない
2:46:56 上目
2:47:13 手フリフリ
2:51:45 うれし♪うれし♪
2:54:02 食べれないんだ
2:55:00 かまろくえん（兼六園）
2:57:21 こうのざん（高野山）
3:01:09 ましろねまっしろね
3:02:41 嚙んだ
3:04:50 セミろねちゃん
3:07:10 冷房27℃
3:08:26 セミろねちゃん
3:10:12 マイクラの村人の真似
3:12:42 うれし♪うれし♪
3:15:01 鳴き声（エコー）
3:15:34 村人
3:16:07 ドラえもんの真似
3:17:17 タラちゃん真似
3:17:54 スパチャ無料いつから？
3:20:37 ドラえもん？
3:21:07 うれし♪うれし♪
3:22:51 ～ 3:25:07 離席
3:29:53 外せる
3:30:00 手フリフリ
3:30:53 ロング
3:30:58 手フリフリ
3:36:02 清楚
3:38:34 うれし♪うれし♪
3:39:50 一番好きなお酒
3:43:51 みんなロング好き
3:44:07 清楚力
3:50:00 ボブ
3:50:18 ロング
3:50:41 後6人（1.3万人）
3:52:04 スン
3:54:44 明日おやすみ
3:57:00 うれし♪うれし♪
3:58:21 登録者カウンター
＿人人人人人人人人＿
＞3:58:35 1.3万人＜
￣Y^Y^Y^Y^Y^Y^Y^Y￣
4:10:31 耳ぴょこぴょこ
4:15:58 どこだ♪どこだ♪
4:17:38 どこだ♪どこだ♪
4:27:53 KP
4:29:24 記念配信緊張
4:29:44 衣装のすすめポイント
4:31:54 ロング
4:33:03 夕飯
4:38:24 うれし♪うれし♪
4:40:57 スケジュール
4:42:37 うれし♪うれし♪
4:46:03 これは虹か
4:51:16 餃子
4:51:50 やばいよやばいよ
4:53:04 ちょっと待って（オーロラ気付く）
4:54:19 コメント固まる
4:58:06 オーロラ凄い
5:00:23 どこだ♪どこだ♪
5:01:15 むしゃむしゃ
5:05:56 足首掴んでるからね
5:06:20 うれし♪うれし♪
5:07:23 お腹の音載ってる配信
（2004年8月くらい？？）
5:10:06 挨拶
5:10:30 照れ顔ガチ恋距離
（いないいないばあっ！）
5:13:37 ED

